종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
대한광통신,010170,KOSDAQ,제외,50.175307295797,1.68,16750.0,16130.0,99.3,1.72,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,111.4571372,1.0924591424684704,16750.0,16010.0,2026-09-17T14:00:00+09:00
미투온,201490,KOSDAQ,제외,51.53922956526732,4.78,4800.0,4440.0,166.2,107.81,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,555.91866375,271.4038898160635,4800.0,4625.0,2026-09-17T14:00:00+09:00
성호전자,043260,KOSDAQ,제외,39.22628832089613,2.94,22950.0,21500.0,134.8,8.43,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,104.875194,5.8361919699984615,22950.0,21400.0,2026-09-17T14:00:00+09:00
현대약품,004310,KOSPI,제외,59.4453125669297,0.65,11750.0,10450.0,34.2,1.53,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,30.996895,1.9376663494962136,11750.0,10420.0,2026-09-17T14:00:00+09:00
스피어,347700,KOSDAQ,제외,63.85486949618328,3.32,23500.0,23400.0,287.4,21.12,09-17 14:00,09-17 13:00,2026-09-17 14:00,True,False,False,128.997979,8.000888360615239,24950.0,23650.0,2026-09-17T14:00:00+09:00
하나마이크론,067310,KOSDAQ,제외,48.337385231781596,2.73,38900.0,37850.0,58.9,1.88,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,76.728365,1.4391331833418126,38900.0,37100.0,2026-09-17T14:00:00+09:00
한화엔진,082740,KOSPI,제외,76.21396573437461,2.42,53400.0,53500.0,153.2,5.1,09-17 14:00,09-17 13:00,2026-09-17 14:00,True,False,False,95.91993,2.2127547224654056,54200.0,53000.0,2026-09-17T14:00:00+09:00
아주IB투자,027360,KOSDAQ,제외,57.6312209725329,2.64,4130.0,3820.0,61.1,17.08,09-17 14:00,09-17 13:00,2026-09-17 14:00,True,False,False,35.660837,6.041536230035699,4130.0,3845.0,2026-09-17T14:00:00+09:00
비츠로테크,042370,KOSDAQ,제외,47.04678896329738,5.14,11370.0,11440.0,53.2,67.78,09-17 14:00,09-17 13:00,2026-09-17 14:00,True,False,False,4.442152,4.010876851332844,11440.0,11440.0,2026-09-17T14:00:00+09:00
삼화콘덴서,001820,KOSPI,제외,61.05419873711433,-1.31,147400.0,139200.0,66.0,0.95,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,124.620496,1.5305547599044196,147400.0,136400.0,2026-09-17T14:00:00+09:00
빛샘전자,072950,KOSDAQ,제외,45.01791359325606,2.37,14800.0,13290.0,12.5,11.46,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,14.71092,8.947074279852698,14800.0,13280.0,2026-09-17T14:00:00+09:00
RF머트리얼즈,327260,KOSDAQ,제외,59.04324208428162,-0.34,49500.0,45950.0,75.3,3.49,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,41.789777,1.4650434139746342,49500.0,44900.0,2026-09-17T14:00:00+09:00
로보티즈,108490,KOSDAQ,제외,36.88407367280606,-1.47,315500.0,313500.0,107.6,1.71,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,63.98772,0.8298747394390332,316500.0,309000.0,2026-09-17T14:00:00+09:00
지엔씨에너지,119850,KOSDAQ,제외,65.93353516609211,0.49,54400.0,51200.0,25.4,1.02,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,42.221946,1.473273911872534,54400.0,50700.0,2026-09-17T14:00:00+09:00
우리기술,032820,KOSDAQ,제외,58.16591733846916,-0.32,13770.0,13430.0,62.4,1.69,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,34.9703219,0.7901542298057285,13770.0,13330.0,2026-09-17T14:00:00+09:00
인제니아테라퓨틱스(Reg.S),950260,KOSDAQ,제외,59.068156556398186,3.08,18490.0,17970.0,47.6,0.84,09-17 14:00,09-17 13:00,2026-09-17 14:00,True,False,False,99.2846232,1.810928720795288,18490.0,17640.0,2026-09-17T14:00:00+09:00
광전자,017900,KOSPI,제외,64.5480691356502,0.24,11150.0,10240.0,25.2,3.5,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,18.2169064,2.1766142323414828,11150.0,10180.0,2026-09-17T14:00:00+09:00
코칩,126730,KOSDAQ,제외,83.18699818699818,2.45,24000.0,23800.0,61.6,9.36,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,233.998037,32.39936582555453,24150.0,24850.0,2026-09-17T14:00:00+09:00
후성,093370,KOSPI,제외,60.90714422617511,0.69,15390.0,14770.0,51.9,1.83,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,52.0419284,1.8950041022187054,15390.0,14740.0,2026-09-17T14:00:00+09:00
엘앤에프,066970,KOSPI,제외,53.3705336024958,-0.85,112900.0,113000.0,127.0,1.52,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,75.85518,0.6799766159595175,113800.0,111000.0,2026-09-17T14:00:00+09:00
HPSP,403870,KOSDAQ,제외,65.33684253334485,0.33,54400.0,53700.0,42.2,0.45,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,66.612252,0.5831844365304073,54400.0,53200.0,2026-09-17T14:00:00+09:00
빛과전자,069540,KOSDAQ,제외,57.74690925502807,-0.56,4475.0,4155.0,29.0,3.01,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,22.463785,1.7587621440472474,4445.0,4115.0,2026-09-17T14:00:00+09:00
파미셀,005690,KOSPI,제외,79.33474396851791,0.86,12760.0,12470.0,40.5,5.42,09-17 14:00,09-17 13:00,2026-09-17 14:00,False,False,False,124.0333906,12.62999750034102,12760.0,11620.0,2026-09-17T14:00:00+09:00
