code,name,market,price,market_cap,quote_time,amount
010170,대한광통신,KOSDAQ,16170,2514200000000.0,2026-09-17T14:28:19+09:00,344515.0
043260,성호전자,KOSDAQ,21600,1629800000000.0,2026-09-17T14:28:22+09:00,290018.0
201490,미투온,KOSDAQ,4465,146100000000.0,2026-09-17T14:28:19+09:00,267071.0
004310,현대약품,KOSPI,10420,333400000000.0,2026-09-17T14:28:21+09:00,177923.0
457370,한켐,KOSDAQ,12490,100800000000.0,2026-09-17T14:28:21+09:00,137221.0
347700,스피어,KOSDAQ,23250,1198600000000.0,2026-09-17T14:28:21+09:00,113132.0
067310,하나마이크론,KOSDAQ,37550,2496700000000.0,2026-09-17T14:28:19+09:00,110949.0
082740,한화엔진,KOSPI,53100,4431000000000.0,2026-09-17T14:28:23+09:00,96999.0
027360,아주IB투자,KOSDAQ,3815,462200000000.0,2026-09-17T14:28:20+09:00,96206.0
072950,빛샘전자,KOSDAQ,13285,107000000000.0,2026-09-17T14:28:20+09:00,83012.0
327260,RF머트리얼즈,KOSDAQ,45500,818500000000.0,2026-09-17T14:28:21+09:00,72655.0
042370,비츠로테크,KOSDAQ,11440,299700000000.0,2026-09-17T14:28:18+09:00,72355.0
001820,삼화콘덴서,KOSPI,138100,1435500000000.0,2026-09-17T14:28:21+09:00,68436.0
108490,로보티즈,KOSDAQ,311500,4568800000000.0,2026-09-17T14:28:22+09:00,63984.0
119850,지엔씨에너지,KOSDAQ,51400,845500000000.0,2026-09-17T14:28:21+09:00,63196.0
032820,우리기술,KOSDAQ,13410,2317000000000.0,2026-09-17T14:28:23+09:00,59759.0
017900,광전자,KOSPI,10220,592200000000.0,2026-09-17T14:28:20+09:00,59040.0
093370,후성,KOSPI,14840,1591700000000.0,2026-09-17T14:28:24+09:00,51596.0
069540,빛과전자,KOSDAQ,4145,467100000000.0,2026-09-17T14:28:20+09:00,51576.0
950260,인제니아테라퓨틱스(Reg.S),KOSDAQ,18200,899900000000.0,2026-09-17T14:28:22+09:00,48577.0
066970,엘앤에프,KOSPI,111900,4552800000000.0,2026-09-17T14:28:20+09:00,46442.0
014950,삼익제약,KOSDAQ,10170,102400000000.0,2026-09-17T14:28:23+09:00,41275.0
005690,파미셀,KOSPI,11980,718800000000.0,2026-09-17T14:28:22+09:00,41185.0
217590,티엠씨,KOSPI,13660,329100000000.0,2026-09-17T14:28:19+09:00,39937.0
403870,HPSP,KOSDAQ,53700,4419500000000.0,2026-09-17T14:28:21+09:00,39828.0
356680,엑스게이트,KOSDAQ,17300,493800000000.0,2026-09-17T14:28:21+09:00,38667.0
192650,드림텍,KOSPI,7690,506700000000.0,2026-09-17T14:28:21+09:00,37191.0
067290,JW신약,KOSDAQ,3545,198700000000.0,2026-09-17T14:28:18+09:00,36832.0
078350,한양디지텍,KOSDAQ,21850,333100000000.0,2026-09-17T14:28:19+09:00,35512.0
483650,달바글로벌,KOSPI,173200,2169500000000.0,2026-09-17T14:28:19+09:00,35418.0
005160,동국산업,KOSDAQ,3855,209100000000.0,2026-09-17T14:28:20+09:00,35233.0
100790,미래에셋벤처투자,KOSDAQ,17060,906200000000.0,2026-09-17T14:28:21+09:00,33468.0
126730,코칩,KOSDAQ,24700,216600000000.0,2026-09-17T14:28:19+09:00,33246.0
080220,제주반도체,KOSDAQ,72500,2497100000000.0,2026-09-17T14:28:20+09:00,33200.0
289080,SV인베스트먼트,KOSDAQ,2655,159700000000.0,2026-09-17T14:28:23+09:00,31319.0
295310,에이치브이엠,KOSDAQ,59700,740600000000.0,2026-09-17T14:28:21+09:00,30746.0
030530,원익홀딩스,KOSDAQ,25500,1969600000000.0,2026-09-17T14:28:21+09:00,30714.0
036540,SFA반도체,KOSDAQ,8630,1419300000000.0,2026-09-17T14:28:22+09:00,29368.0
274090,켄코아에어로스페이스,KOSDAQ,11540,159000000000.0,2026-09-17T14:28:20+09:00,29085.0
161890,한국콜마,KOSPI,147100,3472300000000.0,2026-09-17T14:28:18+09:00,28455.0
004170,신세계,KOSPI,354000,3343600000000.0,2026-09-17T14:28:24+09:00,27921.0
218410,RFHIC,KOSDAQ,53900,1432400000000.0,2026-09-17T14:28:23+09:00,27110.0
222800,심텍,KOSDAQ,128800,4891100000000.0,2026-09-17T14:28:23+09:00,25003.0
456010,아이씨티케이,KOSDAQ,20200,292900000000.0,2026-09-17T14:28:19+09:00,24476.0
138080,오이솔루션,KOSDAQ,27200,336700000000.0,2026-09-17T14:28:22+09:00,24403.0
051160,지어소프트,KOSDAQ,12890,199500000000.0,2026-09-17T14:28:21+09:00,24401.0
178320,서진시스템,KOSDAQ,34650,2208000000000.0,2026-09-17T14:28:20+09:00,23140.0
192820,코스맥스,KOSPI,273000,3098400000000.0,2026-09-17T14:28:22+09:00,22829.0
386380,스카이랩스,KOSDAQ,20400,382700000000.0,2026-09-17T14:28:20+09:00,22778.0
452280,한선엔지니어링,KOSDAQ,13400,257900000000.0,2026-09-17T14:28:21+09:00,22736.0
050890,쏠리드,KOSDAQ,9370,569300000000.0,2026-09-17T14:28:21+09:00,22451.0
004020,현대제철,KOSPI,34050,4543800000000.0,2026-09-17T14:28:20+09:00,22313.0
209640,와이제이링크,KOSDAQ,3800,108100000000.0,2026-09-17T14:28:21+09:00,21895.0
089970,브이엠,KOSDAQ,53100,1398000000000.0,2026-09-17T14:28:23+09:00,21408.0
226950,올릭스,KOSDAQ,114000,2593600000000.0,2026-09-17T14:28:18+09:00,21326.0
006360,GS건설,KOSPI,36350,3110900000000.0,2026-09-17T14:28:22+09:00,20116.0
375500,DL이앤씨,KOSPI,84000,3250300000000.0,2026-09-17T14:28:19+09:00,20021.0
478340,나라스페이스테크놀로지,KOSDAQ,13850,160200000000.0,2026-09-17T14:28:21+09:00,18831.0
126340,비나텍,KOSDAQ,78200,561500000000.0,2026-09-17T14:28:19+09:00,18798.0
084370,유진테크,KOSDAQ,135500,3105100000000.0,2026-09-17T14:28:18+09:00,18791.0
319660,피에스케이,KOSDAQ,126000,3649800000000.0,2026-09-17T14:28:21+09:00,18629.0
012210,삼미금속,KOSDAQ,11380,262300000000.0,2026-09-17T14:28:23+09:00,18365.0
200470,에이팩트,KOSDAQ,6990,306300000000.0,2026-09-17T14:28:20+09:00,18279.0
064290,인텍플러스,KOSDAQ,48350,626500000000.0,2026-09-17T14:28:21+09:00,18158.0
336260,두산퓨얼셀,KOSPI,50550,3310700000000.0,2026-09-17T14:28:22+09:00,18054.0
058610,에스피지,KOSDAQ,98800,2191100000000.0,2026-09-17T14:28:23+09:00,17936.0
214450,파마리서치,KOSDAQ,329000,3418200000000.0,2026-09-17T14:28:23+09:00,17735.0
257720,실리콘투,KOSDAQ,42250,2770600000000.0,2026-09-17T14:28:18+09:00,17655.0
024840,KBI메탈,KOSDAQ,5890,255000000000.0,2026-09-17T14:28:21+09:00,17404.0
095340,ISC,KOSDAQ,188900,4004100000000.0,2026-09-17T14:28:19+09:00,17256.0
090460,비에이치,KOSPI,19750,665800000000.0,2026-09-17T14:28:21+09:00,16987.0
010060,OCI홀딩스,KOSPI,202000,3771400000000.0,2026-09-17T14:28:23+09:00,16393.0
083650,비에이치아이,KOSDAQ,64800,2005200000000.0,2026-09-17T14:28:21+09:00,16279.0
024060,흥구석유,KOSDAQ,13790,206900000000.0,2026-09-17T14:28:19+09:00,15822.0
443670,에스피소프트,KOSDAQ,5410,129900000000.0,2026-09-17T14:28:21+09:00,15603.0
181710,NHN,KOSPI,56800,1836300000000.0,2026-09-17T14:28:21+09:00,15358.0
001450,현대해상,KOSPI,49500,4219800000000.0,2026-09-17T14:28:21+09:00,14986.0
475150,SK이터닉스,KOSPI,49200,1676100000000.0,2026-09-17T14:28:22+09:00,14877.0
054920,한컴위드,KOSDAQ,5030,141900000000.0,2026-09-17T14:28:23+09:00,14872.0
437730,삼현,KOSDAQ,48400,1534600000000.0,2026-09-17T14:28:20+09:00,14846.0
031980,피에스케이홀딩스,KOSDAQ,165900,3577200000000.0,2026-09-17T14:28:23+09:00,14531.0
098460,고영,KOSDAQ,28300,1930200000000.0,2026-09-17T14:28:20+09:00,14020.0
440110,파두,KOSDAQ,63500,3182100000000.0,2026-09-17T14:28:21+09:00,13832.0
023530,롯데쇼핑,KOSPI,116200,3287200000000.0,2026-09-17T14:28:23+09:00,13807.0
322000,HD현대에너지솔루션,KOSPI,120500,1349600000000.0,2026-09-17T14:28:21+09:00,13801.0
204270,제이앤티씨,KOSDAQ,22550,1304500000000.0,2026-09-17T14:28:22+09:00,13785.0
033640,네패스,KOSDAQ,26900,620300000000.0,2026-09-17T14:28:18+09:00,13711.0
006340,대원전선,KOSPI,12930,1013900000000.0,2026-09-17T14:28:20+09:00,13692.0
095610,테스,KOSDAQ,135500,2623300000000.0,2026-09-17T14:28:24+09:00,13401.0
046970,우리로,KOSDAQ,7080,310300000000.0,2026-09-17T14:28:19+09:00,13390.0
004710,한솔테크닉스,KOSPI,9290,493500000000.0,2026-09-17T14:28:20+09:00,13356.0
001210,금호전기,KOSPI,10670,132900000000.0,2026-09-17T14:28:19+09:00,13334.0
441270,파인엠텍,KOSDAQ,9360,395000000000.0,2026-09-17T14:28:22+09:00,13305.0
034220,LG디스플레이,KOSPI,8430,4215000000000.0,2026-09-17T14:28:22+09:00,13090.0
417200,LS머트리얼즈,KOSDAQ,12700,859200000000.0,2026-09-17T14:28:20+09:00,12520.0
077360,덕산하이메탈,KOSDAQ,11310,513900000000.0,2026-09-17T14:28:22+09:00,12505.0
103590,일진전기,KOSPI,70500,3361800000000.0,2026-09-17T14:28:19+09:00,12342.0
241710,코스메카코리아,KOSDAQ,131000,1399100000000.0,2026-09-17T14:28:20+09:00,12235.0
330860,네패스아크,KOSDAQ,26400,321700000000.0,2026-09-17T14:28:19+09:00,12154.0
080580,오킨스전자,KOSDAQ,22650,477700000000.0,2026-09-17T14:28:22+09:00,12127.0
420770,기가비스,KOSDAQ,101100,1281500000000.0,2026-09-17T14:28:20+09:00,12111.0
261780,아리바이오랩,KOSDAQ,4290,124200000000.0,2026-09-17T14:28:21+09:00,11741.0
002990,금호건설,KOSPI,13440,500800000000.0,2026-09-17T14:28:22+09:00,11702.0
053800,안랩,KOSDAQ,65500,728800000000.0,2026-09-17T14:28:19+09:00,11623.0
290550,디케이티,KOSDAQ,18980,379600000000.0,2026-09-17T14:28:19+09:00,11286.0
229640,LS에코에너지,KOSPI,52800,1617000000000.0,2026-09-17T14:28:22+09:00,11196.0
131290,티에스이,KOSDAQ,247500,2737700000000.0,2026-09-17T14:28:22+09:00,11148.0
001040,CJ,KOSPI,131000,3822200000000.0,2026-09-17T14:28:19+09:00,11094.0
298380,에이비엘바이오,KOSDAQ,58400,3269700000000.0,2026-09-17T14:28:20+09:00,10997.0
051900,LG생활건강,KOSPI,295500,4425300000000.0,2026-09-17T14:28:19+09:00,10993.0
131970,두산테스나,KOSDAQ,78900,1524900000000.0,2026-09-17T14:28:23+09:00,10969.0
187660,페니트리움바이오,KOSDAQ,6400,409400000000.0,2026-09-17T14:28:18+09:00,10818.0
089030,테크윙,KOSDAQ,45850,1698900000000.0,2026-09-17T14:28:22+09:00,10795.0
003160,디아이,KOSPI,31500,891500000000.0,2026-09-17T14:28:22+09:00,10753.0
158430,아톤,KOSDAQ,5780,141500000000.0,2026-09-17T14:28:19+09:00,10597.0
332570,PS일렉트로닉스,KOSDAQ,8580,394200000000.0,2026-09-17T14:28:19+09:00,10430.0
232140,와이씨,KOSDAQ,11960,981300000000.0,2026-09-17T14:28:23+09:00,10428.0
001430,세아베스틸지주,KOSPI,45250,1622800000000.0,2026-09-17T14:28:23+09:00,10266.0
413630,씨피시스템,KOSDAQ,4485,163400000000.0,2026-09-17T14:28:20+09:00,10172.0
071970,HD현대마린엔진,KOSPI,51800,1757100000000.0,2026-09-17T14:28:22+09:00,10112.0
347850,디앤디파마텍,KOSDAQ,46000,2108500000000.0,2026-09-17T14:28:21+09:00,10091.0
004370,농심,KOSPI,395500,2405700000000.0,2026-09-17T14:28:20+09:00,9979.0
014680,한솔케미칼,KOSPI,216000,2331500000000.0,2026-09-17T14:28:21+09:00,9952.0
041510,에스엠,KOSDAQ,82500,1888800000000.0,2026-09-17T14:28:21+09:00,9537.0
112610,씨에스윈드,KOSPI,51200,2159200000000.0,2026-09-17T14:28:20+09:00,9336.0
036570,NC,KOSPI,203500,4384200000000.0,2026-09-17T14:28:19+09:00,9219.0
011170,롯데케미칼,KOSPI,62300,2664900000000.0,2026-09-17T14:28:22+09:00,9194.0
069960,현대백화점,KOSPI,101000,2178100000000.0,2026-09-17T14:28:23+09:00,9067.0
030000,제일기획,KOSPI,17330,1993700000000.0,2026-09-17T14:28:22+09:00,8995.0
356860,티엘비,KOSDAQ,37750,894700000000.0,2026-09-17T14:28:20+09:00,8956.0
006660,삼성공조,KOSPI,12910,104900000000.0,2026-09-17T14:28:22+09:00,8893.0
138930,BNK금융지주,KOSPI,15710,4820500000000.0,2026-09-17T14:28:21+09:00,8864.0
028670,팬오션,KOSPI,5870,3137900000000.0,2026-09-17T14:28:19+09:00,8710.0
454910,두산로보틱스,KOSPI,69200,4485500000000.0,2026-09-17T14:28:22+09:00,8521.0
417030,니어스랩,KOSDAQ,29000,167500000000.0,2026-09-17T14:28:21+09:00,8500.0
141080,리가켐바이오,KOSDAQ,82500,3054100000000.0,2026-09-17T14:28:23+09:00,8442.0
161580,필옵틱스,KOSDAQ,31750,744300000000.0,2026-09-17T14:28:20+09:00,8410.0
125490,한라캐스트,KOSDAQ,11210,409200000000.0,2026-09-17T14:28:23+09:00,8354.0
097950,CJ제일제당,KOSPI,177000,2664600000000.0,2026-09-17T14:28:20+09:00,8308.0
417010,나노팀,KOSDAQ,6650,134100000000.0,2026-09-17T14:28:20+09:00,8284.0
064760,티씨케이,KOSDAQ,272000,3040800000000.0,2026-09-17T14:28:23+09:00,8279.0
033160,엠케이전자,KOSDAQ,14390,353500000000.0,2026-09-17T14:28:20+09:00,8249.0
100840,SNT에너지,KOSPI,37250,770400000000.0,2026-09-17T14:28:21+09:00,8159.0
190510,나무가,KOSDAQ,16150,227500000000.0,2026-09-17T14:28:20+09:00,8067.0
082920,비츠로셀,KOSDAQ,29700,1340600000000.0,2026-09-17T14:28:22+09:00,8061.0
388790,라이콤,KOSDAQ,4910,150300000000.0,2026-09-17T14:28:23+09:00,7915.0
281820,케이씨텍,KOSPI,73300,1451200000000.0,2026-09-17T14:28:18+09:00,7907.0
0220W0,한화머시너리앤서비스홀딩스,KOSPI,6600,557800000000.0,2026-09-17T14:28:24+09:00,7878.0
354320,알멕,KOSDAQ,38800,248000000000.0,2026-09-17T14:28:21+09:00,7796.0
000250,삼천당제약,KOSDAQ,163000,3823600000000.0,2026-09-17T14:28:20+09:00,7788.0
