code,name,market,price,market_cap,quote_time,amount,scan_time
424870,이뮨온시아,KOSDAQ,3725,340500000000.0,2026-09-16T10:48:17+09:00,11709.0,2026-09-16T10:48:31.622302+09:00
103590,일진전기,KOSPI,70400,3357100000000.0,2026-09-16T10:48:19+09:00,11449.0,2026-09-16T10:48:31.622302+09:00
006340,대원전선,KOSPI,12860,1008400000000.0,2026-09-16T10:48:17+09:00,10821.0,2026-09-16T10:48:31.622302+09:00
083650,비에이치아이,KOSDAQ,63300,1958800000000.0,2026-09-16T10:48:22+09:00,10478.0,2026-09-16T10:48:31.622302+09:00
178320,서진시스템,KOSDAQ,36000,2294000000000.0,2026-09-16T10:48:19+09:00,9969.0,2026-09-16T10:48:31.622302+09:00
002990,금호건설,KOSPI,13380,498500000000.0,2026-09-16T10:48:22+09:00,9609.0,2026-09-16T10:48:31.622302+09:00
226950,올릭스,KOSDAQ,105000,2388800000000.0,2026-09-16T10:48:18+09:00,9547.0,2026-09-16T10:48:31.622302+09:00
030000,제일기획,KOSPI,17770,2044300000000.0,2026-09-16T10:48:22+09:00,9478.0,2026-09-16T10:48:31.622302+09:00
040300,YTN,KOSDAQ,2530,120600000000.0,2026-09-16T10:48:22+09:00,9335.0,2026-09-16T10:48:31.622302+09:00
322000,HD현대에너지솔루션,KOSPI,119800,1341800000000.0,2026-09-16T10:48:21+09:00,9184.0,2026-09-16T10:48:31.622302+09:00
440110,파두,KOSDAQ,58600,2936500000000.0,2026-09-16T10:48:19+09:00,9145.0,2026-09-16T10:48:31.622302+09:00
271560,오리온,KOSPI,112600,4450900000000.0,2026-09-16T10:48:21+09:00,8985.0,2026-09-16T10:48:31.622302+09:00
192820,코스맥스,KOSPI,279000,3166500000000.0,2026-09-16T10:48:19+09:00,8895.0,2026-09-16T10:48:31.622302+09:00
004170,신세계,KOSPI,366500,3461700000000.0,2026-09-16T10:48:21+09:00,8799.0,2026-09-16T10:48:31.622302+09:00
483650,달바글로벌,KOSPI,158300,1982900000000.0,2026-09-16T10:48:18+09:00,8540.0,2026-09-16T10:48:31.622302+09:00
950190,고스트스튜디오,KOSDAQ,11970,155800000000.0,2026-09-16T10:48:23+09:00,8363.0,2026-09-16T10:48:31.622302+09:00
004020,현대제철,KOSPI,34950,4663900000000.0,2026-09-16T10:48:20+09:00,8150.0,2026-09-16T10:48:31.622302+09:00
090460,비에이치,KOSPI,18760,632400000000.0,2026-09-16T10:48:21+09:00,8108.0,2026-09-16T10:48:31.622302+09:00
125490,한라캐스트,KOSDAQ,10830,395300000000.0,2026-09-16T10:48:23+09:00,8017.0,2026-09-16T10:48:31.622302+09:00
041190,우리기술투자,KOSDAQ,5190,414200000000.0,2026-09-16T10:48:19+09:00,7890.0,2026-09-16T10:48:31.622302+09:00
032500,케이엠더블유,KOSDAQ,17690,746400000000.0,2026-09-16T10:48:22+09:00,7886.0,2026-09-16T10:48:31.622302+09:00
034220,LG디스플레이,KOSPI,8450,4225000000000.0,2026-09-16T10:48:22+09:00,7789.0,2026-09-16T10:48:31.622302+09:00
456010,아이씨티케이,KOSDAQ,18590,269600000000.0,2026-09-16T10:48:19+09:00,7618.0,2026-09-16T10:48:31.622302+09:00
058470,리노공업,KOSDAQ,63800,4862300000000.0,2026-09-16T10:48:19+09:00,7604.0,2026-09-16T10:48:31.622302+09:00
119850,지엔씨에너지,KOSDAQ,47550,782100000000.0,2026-09-16T10:48:21+09:00,7603.0,2026-09-16T10:48:31.622302+09:00
0007C0,아크릴,KOSDAQ,20050,161000000000.0,2026-09-16T10:48:20+09:00,7491.0,2026-09-16T10:48:31.622302+09:00
010060,OCI홀딩스,KOSPI,200500,3743400000000.0,2026-09-16T10:48:20+09:00,7347.0,2026-09-16T10:48:31.622302+09:00
064260,다날,KOSDAQ,4405,333200000000.0,2026-09-16T10:48:21+09:00,7299.0,2026-09-16T10:48:31.622302+09:00
082740,한화엔진,KOSPI,47600,3972100000000.0,2026-09-16T10:48:21+09:00,7266.0,2026-09-16T10:48:31.622302+09:00
024840,KBI메탈,KOSDAQ,5600,242400000000.0,2026-09-16T10:48:20+09:00,7264.0,2026-09-16T10:48:31.622302+09:00
011170,롯데케미칼,KOSPI,66850,2859500000000.0,2026-09-16T10:48:22+09:00,7263.0,2026-09-16T10:48:31.622302+09:00
023530,롯데쇼핑,KOSPI,120900,3420100000000.0,2026-09-16T10:48:24+09:00,7208.0,2026-09-16T10:48:31.622302+09:00
