순위,종목,코드,등장,구분,패턴,점수,RSI,12/26선,이격ATR,3봉회복배수,동시간배수,기준봉(KST)
1,더즌,462860,신규,일치,재반등,84.6,54.1,12≤26,0.45,3.32,3.3,09-15 09:00
2,에스비비테크,389500,신규,일치,수렴돌파,80.8,69.5,12>26,2.55,2.77,4.92,09-15 09:00
3,LG생활건강,051900,신규,일치,수렴돌파,80.6,76.5,12>26,2.89,2.53,2.85,09-15 09:00
4,삼익제약,014950,신규,일치,재반등,79.8,75.8,12≤26,3.26,7.65,10.78,09-15 09:00
5,에이럭스,475580,신규,일치,수렴돌파,78.9,72.6,12>26,2.77,35.66,12.17,09-15 09:00
