code,name,market,price,market_cap,quote_time,amount,scan_time
017900,광전자,KOSPI,10720,621200000000.0,2026-09-15T20:20:21+09:00,371686.0,2026-09-16T07:56:21.327688+09:00
030530,원익홀딩스,KOSDAQ,25950,2004300000000.0,2026-09-15T20:20:21+09:00,252025.0,2026-09-16T07:56:21.327688+09:00
014950,삼익제약,KOSDAQ,11420,115000000000.0,2026-09-15T20:20:23+09:00,237487.0,2026-09-16T07:56:21.327688+09:00
108490,로보티즈,KOSDAQ,329500,4832800000000.0,2026-09-15T20:20:23+09:00,232759.0,2026-09-16T07:56:21.327688+09:00
356680,엑스게이트,KOSDAQ,16990,485000000000.0,2026-09-15T20:20:21+09:00,207423.0,2026-09-16T07:56:21.327688+09:00
001820,삼화콘덴서,KOSPI,144000,1496900000000.0,2026-09-15T20:20:22+09:00,188447.0,2026-09-16T07:56:21.327688+09:00
058610,에스피지,KOSDAQ,106500,2361900000000.0,2026-09-15T20:20:24+09:00,171647.0,2026-09-16T07:56:21.327688+09:00
004310,현대약품,KOSPI,10070,322200000000.0,2026-09-15T20:20:22+09:00,168010.0,2026-09-16T07:56:21.327688+09:00
067290,JW신약,KOSDAQ,3710,207900000000.0,2026-09-15T20:20:19+09:00,163398.0,2026-09-16T07:56:21.327688+09:00
042510,라온시큐어,KOSDAQ,12270,136300000000.0,2026-09-15T20:20:19+09:00,154292.0,2026-09-16T07:56:21.327688+09:00
036540,SFA반도체,KOSDAQ,8650,1422600000000.0,2026-09-15T20:20:23+09:00,150638.0,2026-09-16T07:56:21.327688+09:00
093370,후성,KOSPI,14640,1570200000000.0,2026-09-15T20:20:24+09:00,135347.0,2026-09-16T07:56:21.327688+09:00
062970,한국첨단소재,KOSDAQ,3360,101200000000.0,2026-09-15T20:20:21+09:00,134216.0,2026-09-16T07:56:21.327688+09:00
336260,두산퓨얼셀,KOSPI,51900,3399100000000.0,2026-09-15T20:20:23+09:00,102065.0,2026-09-16T07:56:21.327688+09:00
203650,드림시큐리티,KOSDAQ,2785,283200000000.0,2026-09-15T20:20:19+09:00,92633.0,2026-09-16T07:56:21.327688+09:00
201490,미투온,KOSDAQ,4030,131900000000.0,2026-09-15T20:20:19+09:00,86814.0,2026-09-16T07:56:21.327688+09:00
375500,DL이앤씨,KOSPI,88500,3424400000000.0,2026-09-15T20:20:20+09:00,80779.0,2026-09-16T07:56:21.327688+09:00
069540,빛과전자,KOSDAQ,4135,466000000000.0,2026-09-15T20:20:21+09:00,79678.0,2026-09-16T07:56:21.327688+09:00
386380,스카이랩스,KOSDAQ,20850,391200000000.0,2026-09-15T20:20:21+09:00,78237.0,2026-09-16T07:56:21.327688+09:00
024060,흥구석유,KOSDAQ,14580,218700000000.0,2026-09-15T20:20:19+09:00,76559.0,2026-09-16T07:56:21.327688+09:00
010170,대한광통신,KOSDAQ,14320,2226600000000.0,2026-09-15T20:20:20+09:00,71526.0,2026-09-16T07:56:21.327688+09:00
006360,GS건설,KOSPI,38150,3264900000000.0,2026-09-15T20:20:22+09:00,69319.0,2026-09-16T07:56:21.327688+09:00
158430,아톤,KOSDAQ,6310,154500000000.0,2026-09-15T20:20:19+09:00,67554.0,2026-09-16T07:56:21.327688+09:00
332570,PS일렉트로닉스,KOSDAQ,8620,396000000000.0,2026-09-15T20:20:20+09:00,63393.0,2026-09-16T07:56:21.327688+09:00
403870,HPSP,KOSDAQ,53000,4361900000000.0,2026-09-15T20:20:21+09:00,62787.0,2026-09-16T07:56:21.327688+09:00
032820,우리기술,KOSDAQ,13500,2332600000000.0,2026-09-15T20:20:24+09:00,62252.0,2026-09-16T07:56:21.327688+09:00
004020,현대제철,KOSPI,35550,4744000000000.0,2026-09-15T20:20:21+09:00,62026.0,2026-09-16T07:56:21.327688+09:00
010580,에스엠벡셀,KOSPI,2675,297600000000.0,2026-09-15T20:20:21+09:00,58449.0,2026-09-16T07:56:21.327688+09:00
298380,에이비엘바이오,KOSDAQ,59700,3342500000000.0,2026-09-15T20:20:21+09:00,57824.0,2026-09-16T07:56:21.327688+09:00
353200,대덕전자,KOSPI,98600,4872500000000.0,2026-09-15T20:20:19+09:00,57289.0,2026-09-16T07:56:21.327688+09:00
437730,삼현,KOSDAQ,52700,1671000000000.0,2026-09-15T20:20:20+09:00,54800.0,2026-09-16T07:56:21.327688+09:00
217590,티엠씨,KOSPI,13290,320200000000.0,2026-09-15T20:20:19+09:00,52182.0,2026-09-16T07:56:21.327688+09:00
222800,심텍,KOSDAQ,126800,4815100000000.0,2026-09-15T20:20:23+09:00,50046.0,2026-09-16T07:56:21.327688+09:00
054920,한컴위드,KOSDAQ,5230,147600000000.0,2026-09-15T20:20:23+09:00,49104.0,2026-09-16T07:56:21.327688+09:00
160190,하이젠알앤엠,KOSDAQ,25550,789200000000.0,2026-09-15T20:20:20+09:00,49101.0,2026-09-16T07:56:21.327688+09:00
462860,더즌,KOSDAQ,3045,218500000000.0,2026-09-15T20:20:21+09:00,48724.0,2026-09-16T07:56:21.327688+09:00
411080,샌즈랩,KOSDAQ,6700,102300000000.0,2026-09-15T20:20:21+09:00,48427.0,2026-09-16T07:56:21.327688+09:00
066970,엘앤에프,KOSPI,115500,4699100000000.0,2026-09-15T20:20:20+09:00,47835.0,2026-09-16T07:56:21.327688+09:00
080220,제주반도체,KOSDAQ,70600,2431700000000.0,2026-09-15T20:20:21+09:00,46118.0,2026-09-16T07:56:21.327688+09:00
031980,피에스케이홀딩스,KOSDAQ,167000,3600900000000.0,2026-09-15T20:20:23+09:00,44709.0,2026-09-16T07:56:21.327688+09:00
226950,올릭스,KOSDAQ,108600,2470700000000.0,2026-09-15T20:20:19+09:00,44084.0,2026-09-16T07:56:21.327688+09:00
125490,한라캐스트,KOSDAQ,11510,420100000000.0,2026-09-15T20:20:23+09:00,43962.0,2026-09-16T07:56:21.327688+09:00
131970,두산테스나,KOSDAQ,75600,1461100000000.0,2026-09-15T20:20:23+09:00,43094.0,2026-09-16T07:56:21.327688+09:00
001210,금호전기,KOSPI,10840,135100000000.0,2026-09-15T20:20:20+09:00,42884.0,2026-09-16T07:56:21.327688+09:00
032940,원익,KOSDAQ,9820,178700000000.0,2026-09-15T20:20:20+09:00,39327.0,2026-09-16T07:56:21.327688+09:00
053300,한국정보인증,KOSDAQ,5620,222400000000.0,2026-09-15T20:20:19+09:00,38594.0,2026-09-16T07:56:21.327688+09:00
456010,아이씨티케이,KOSDAQ,18520,268600000000.0,2026-09-15T20:20:20+09:00,37121.0,2026-09-16T07:56:21.327688+09:00
327260,RF머트리얼즈,KOSDAQ,45850,824800000000.0,2026-09-15T20:20:22+09:00,35983.0,2026-09-16T07:56:21.327688+09:00
356860,티엘비,KOSDAQ,37700,893500000000.0,2026-09-15T20:20:20+09:00,34821.0,2026-09-16T07:56:21.327688+09:00
413630,씨피시스템,KOSDAQ,4535,165200000000.0,2026-09-15T20:20:20+09:00,34717.0,2026-09-16T07:56:21.327688+09:00
036220,오상헬스케어,KOSDAQ,7110,101700000000.0,2026-09-15T20:20:22+09:00,32013.0,2026-09-16T07:56:21.327688+09:00
0015N0,아로마티카,KOSDAQ,12710,159900000000.0,2026-09-15T20:20:22+09:00,31125.0,2026-09-16T07:56:21.327688+09:00
046970,우리로,KOSDAQ,7030,308100000000.0,2026-09-15T20:20:19+09:00,31046.0,2026-09-16T07:56:21.327688+09:00
034220,LG디스플레이,KOSPI,8680,4340000000000.0,2026-09-15T20:20:23+09:00,30853.0,2026-09-16T07:56:21.327688+09:00
456160,지투지바이오,KOSDAQ,34100,567100000000.0,2026-09-15T20:20:23+09:00,30764.0,2026-09-16T07:56:21.327688+09:00
051900,LG생활건강,KOSPI,302500,4530100000000.0,2026-09-15T20:20:20+09:00,29957.0,2026-09-16T07:56:21.327688+09:00
257720,실리콘투,KOSDAQ,43650,2862400000000.0,2026-09-15T20:20:18+09:00,29914.0,2026-09-16T07:56:21.327688+09:00
417200,LS머트리얼즈,KOSDAQ,12410,839600000000.0,2026-09-15T20:20:20+09:00,29286.0,2026-09-16T07:56:21.327688+09:00
071200,인피니트헬스케어,KOSDAQ,12800,312300000000.0,2026-09-15T20:20:22+09:00,29038.0,2026-09-16T07:56:21.327688+09:00
087010,펩트론,KOSDAQ,149300,3481300000000.0,2026-09-15T20:20:20+09:00,28285.0,2026-09-16T07:56:21.327688+09:00
082740,한화엔진,KOSPI,48150,4018000000000.0,2026-09-15T20:20:24+09:00,27324.0,2026-09-16T07:56:21.327688+09:00
010060,OCI홀딩스,KOSPI,204000,3808700000000.0,2026-09-15T20:20:23+09:00,27098.0,2026-09-16T07:56:21.327688+09:00
161890,한국콜마,KOSPI,144700,3415700000000.0,2026-09-15T20:20:19+09:00,27092.0,2026-09-16T07:56:21.327688+09:00
000670,영풍,KOSPI,49650,914100000000.0,2026-09-15T20:20:24+09:00,26601.0,2026-09-16T07:56:21.327688+09:00
0220W0,한화머시너리앤서비스홀딩스,KOSPI,7030,594100000000.0,2026-09-15T20:20:24+09:00,26466.0,2026-09-16T07:56:21.327688+09:00
112610,씨에스윈드,KOSPI,53000,2235100000000.0,2026-09-15T20:20:20+09:00,25950.0,2026-09-16T07:56:21.327688+09:00
187660,페니트리움바이오,KOSDAQ,7800,498900000000.0,2026-09-15T20:20:19+09:00,25919.0,2026-09-16T07:56:21.327688+09:00
443670,에스피소프트,KOSDAQ,5070,121700000000.0,2026-09-15T20:20:21+09:00,25541.0,2026-09-16T07:56:21.327688+09:00
