순위,종목,코드,시장,구분,돌파모드,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_early_trigger,_early_tf,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time,스마트점수,돌파이격,건전도,VR,현재가,당일등락률,당일고가,당일누적대금,시세시각
🥇 1위,리노공업,058470,KOSDAQ,일치,⚡ 조기(30m),63.9,4.35,74400.0,75700.0,379.9,12.72,09-22 14:00,09-22 13:00,2026-09-22 14:00,True,True,True,30m,False,345.683514,7.381308031015528,76800.0,75900.0,2026-09-22T14:00:00+09:00,100.0,1.75,안착🟢,4.64,75000.0,0.0,79700,193억,2026-09-23T08:15:03+09:00
🥈 2위,NC,036570,KOSPI,일치,⚡ 조기(10m),62.5,4.22,219500.0,220000.0,48.1,2.3,09-22 14:00,09-22 13:00,2026-09-22 14:00,True,True,True,10m,False,54.66944,2.2012364214341904,223000.0,224000.0,2026-09-22T14:00:00+09:00,55.0,0.23,턱걸이⚠️,1.9,223000.0,0.0,225000,0.94억,2026-09-23T08:15:02+09:00
