종목,코드,시장,구분,돌파모드,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_early_trigger,_early_tf,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,제외,56.123360983414024,4.28,283500.0,277250.0,9062.0,1.46,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,13202.5175975,1.6164789455551645,283500.0,283250.0,2026-09-23T09:00:00+09:00
SK하이닉스,000660,KOSPI,제외,제외,66.14140060278596,0.83,1935000.0,1856000.0,10969.4,1.57,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,13902.68938,1.0957896095457935,1935000.0,1858000.0,2026-09-23T09:00:00+09:00
SK스퀘어,402340,KOSPI,제외,제외,53.73691099895909,4.24,1189000.0,1147000.0,1363.7,1.77,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,1601.32392,1.3532997003844036,1189000.0,1176000.0,2026-09-23T09:00:00+09:00
삼성전기,009150,KOSPI,제외,제외,53.34364260750324,2.5,1548000.0,1483000.0,1600.8,1.56,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,2457.52005,1.1783776631477536,1548000.0,1489000.0,2026-09-23T09:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,제외,55.31245025290322,-0.39,359500.0,350000.0,182.8,1.09,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,276.38583,1.2186488897948389,359500.0,357000.0,2026-09-23T09:00:00+09:00
현대차,005380,KOSPI,제외,제외,60.96653125937645,-0.98,370000.0,360500.0,274.7,1.08,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,307.6066,0.7558762991729094,370000.0,358750.0,2026-09-23T09:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,제외,67.71881750181161,-1.5,1408000.0,1392000.0,88.2,1.0,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,94.07274,1.0863303163245852,1408000.0,1382000.0,2026-09-23T09:00:00+09:00
KB금융,105560,KOSPI,제외,제외,57.919028183018966,-1.81,178500.0,175900.0,172.4,0.84,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,247.532974,0.6471504187557745,178500.0,174200.0,2026-09-23T09:00:00+09:00
삼성물산,028260,KOSPI,제외,제외,63.843639816247595,1.92,385500.0,366500.0,141.0,0.8,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,257.937625,1.0001405866915383,385500.0,372500.0,2026-09-23T09:00:00+09:00
삼성생명,032830,KOSPI,제외,제외,56.42090393439057,1.9,304000.0,291000.0,94.2,0.74,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,158.416985,0.8137523215331094,304000.0,296500.0,2026-09-23T09:00:00+09:00
한화에어로스페이스,012450,KOSPI,제외,제외,43.02268854150208,-2.34,1076000.0,1060000.0,170.6,0.93,09-23 09:00,09-22 14:00,2026-09-23 09:00,False,False,False,,False,145.394,0.5284663475443884,1076000.0,1046000.0,2026-09-23T09:00:00+09:00
