종목,코드,시장,구분,돌파모드,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_early_trigger,_early_tf,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,제외,43.530092689949285,3.68,285000.0,283000.0,3799.4,1.08,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,4292.2572,1.1724036978947734,285000.0,283250.0,2026-09-23T12:00:00+09:00
SK하이닉스,000660,KOSPI,제외,제외,60.416948304032374,-0.11,1922000.0,1847000.0,6795.5,1.41,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,4437.31738,0.9562157076227706,1922000.0,1843000.0,2026-09-23T12:00:00+09:00
SK스퀘어,402340,KOSPI,제외,제외,44.0312035216593,3.16,1196000.0,1168000.0,928.1,2.27,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,525.5082,1.1937240036864711,1196000.0,1165000.0,2026-09-23T12:00:00+09:00
삼성전기,009150,KOSPI,제외,제외,47.41676746109441,2.03,1544000.0,1483000.0,867.5,1.45,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,516.23055,1.043052178809984,1544000.0,1485000.0,2026-09-23T12:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,제외,47.06138673156037,-1.62,359000.0,350500.0,56.0,0.57,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,58.27413,0.8415234900113895,359000.0,350500.0,2026-09-23T12:00:00+09:00
현대차,005380,KOSPI,제외,제외,54.78585041603824,-2.43,370000.0,352500.0,141.6,0.98,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,325.9215,2.4070810486020124,366000.0,352500.0,2026-09-23T12:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,제외,47.075648713649926,-2.82,1401000.0,1370000.0,50.5,1.1,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,47.10682,1.2157900781632098,1399000.0,1367000.0,2026-09-23T12:00:00+09:00
KB금융,105560,KOSPI,제외,제외,43.85120798661471,-2.18,176900.0,173400.0,108.3,0.78,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,120.67615,0.8524453726264227,176900.0,173000.0,2026-09-23T12:00:00+09:00
삼성물산,028260,KOSPI,제외,제외,58.482268029650605,0.92,379500.0,370000.0,121.1,1.36,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,92.474025,1.0661592667352524,379500.0,367500.0,2026-09-23T12:00:00+09:00
삼성생명,032830,KOSPI,제외,제외,56.95309407728553,0.88,299000.0,293500.0,61.8,0.9,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,53.384175,0.7943883042985017,299000.0,292500.0,2026-09-23T12:00:00+09:00
한화에어로스페이스,012450,KOSPI,제외,제외,37.397381262658115,-3.68,1064000.0,1020000.0,144.6,1.46,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,180.27797,2.0422690331183686,1064000.0,1021000.0,2026-09-23T12:00:00+09:00
두산에너빌리티,034020,KOSPI,제외,제외,62.121419127943156,-3.06,88100.0,81450.0,698.5,3.6,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,322.83417,1.6946912713888918,88100.0,81300.0,2026-09-23T12:00:00+09:00
신한지주,055550,KOSPI,제외,제외,51.35860582601007,-2.63,113600.0,109800.0,116.3,1.49,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,110.759155,1.1030916695442199,113400.0,109300.0,2026-09-23T12:00:00+09:00
HD현대중공업,329180,KOSPI,제외,제외,41.41826346273406,-2.55,460000.0,440000.0,79.8,0.94,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,69.8324,0.7660605063334534,460000.0,440000.0,2026-09-23T12:00:00+09:00
기아,000270,KOSPI,제외,제외,40.47872126629242,-3.66,120900.0,115600.0,109.6,1.4,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,93.19926,1.3104757918398415,120300.0,115500.0,2026-09-23T12:00:00+09:00
SK,034730,KOSPI,제외,제외,42.84746081095805,2.86,605000.0,594000.0,57.1,1.05,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,53.20396,0.9963148457652748,605000.0,593000.0,2026-09-23T12:00:00+09:00
삼성SDI,006400,KOSPI,제외,제외,45.00891869642112,-2.84,535000.0,512000.0,172.6,1.35,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,124.36735,1.0094348087598926,535000.0,515000.0,2026-09-23T12:00:00+09:00
셀트리온,068270,KOSPI,제외,제외,45.1476718763927,-1.95,179800.0,177100.0,63.3,1.02,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,66.91528,1.2963926424915588,179700.0,177400.0,2026-09-23T12:00:00+09:00
하나금융지주,086790,KOSPI,제외,제외,50.50689426515836,-2.11,136700.0,132700.0,53.9,0.71,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,80.50965,1.1404981549305837,136700.0,132500.0,2026-09-23T12:00:00+09:00
LG전자,066570,KOSPI,제외,제외,46.73624623418151,1.13,221000.0,210000.0,120.8,1.2,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,96.76485,1.1563692995036978,221000.0,208500.0,2026-09-23T12:00:00+09:00
현대모비스,012330,KOSPI,제외,제외,47.83742508235853,-2.43,384500.0,366500.0,57.6,0.55,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,66.09702,0.7489086232501403,380000.0,365500.0,2026-09-23T12:00:00+09:00
LS ELECTRIC,010120,KOSPI,제외,제외,57.99836993616369,-0.98,215500.0,204500.0,81.6,1.21,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,56.67513,0.9259022281837065,215000.0,204500.0,2026-09-23T12:00:00+09:00
NAVER,035420,KOSPI,제외,제외,59.87443447753195,-1.59,203500.0,195900.0,206.2,1.84,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,135.811593,1.4684348912299428,203500.0,195900.0,2026-09-23T12:00:00+09:00
삼성화재,000810,KOSPI,제외,제외,48.91615303266045,-0.92,656000.0,645000.0,37.8,0.82,09-23 12:00,09-23 11:00,2026-09-23 12:00,False,False,False,,False,35.30679,0.8048079050217536,656000.0,647000.0,2026-09-23T12:00:00+09:00
