code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
041510,에스엠,75000.0,0,13,2026-08-04 12:00:00+09:00,1,975000.0,988000.0,False,78600.0,False,76000.0,2026-08-10 14:00:00+09:00,MAX_5D,13000.0
079650,서산,5230.0,0,193,2026-08-11 12:00:00+09:00,6,1009390.0,1110329.0000000002,False,5240.0,False,5240.0,2026-08-12 09:00:00+09:00,TARGET,100939.00000000023
067310,하나마이크론,36200.0,0,30,2026-08-13 12:00:00+09:00,8,1086000.0,1194600.0,False,37900.0,False,36250.0,2026-08-18 09:00:00+09:00,TARGET,108600.0
192820,코스맥스,257000.0,0,4,2026-08-20 12:00:00+09:00,12,1028000.0,1130800.0,False,274000.0,False,270500.0,2026-08-24 09:00:00+09:00,TARGET,102800.0
003350,한국화장품제조,13720.0,0,96,2026-08-25 12:00:00+09:00,15,1317120.0,1448832.0000000002,False,14940.0,False,13770.0,2026-08-28 10:00:00+09:00,TARGET,131712.00000000023
356680,엑스게이트,12330.0,0,118,2026-08-28 12:00:00+09:00,18,1454940.0,1355820.0,False,13280.0,False,12150.0,2026-08-31 09:00:00+09:00,STOP_GAP,-99120.0
014950,삼익제약,5330.0,0,254,2026-08-31 12:00:00+09:00,19,1353820.0,1489202.0000000002,False,5600.0,False,5390.0,2026-09-01 09:00:00+09:00,TARGET,135382.00000000023
064290,인텍플러스,40200.0,0,37,2026-09-04 12:00:00+09:00,23,1487400.0,1636140.0,False,43650.0,False,41100.0,2026-09-09 09:00:00+09:00,TARGET,148740.0
024060,흥구석유,12140.0,0,135,2026-09-09 11:00:00+09:00,26,1638900.0,1802790.0000000002,False,12400.0,False,12110.0,2026-09-10 09:00:00+09:00,TARGET,163890.00000000023
252990,샘씨엔에스,13910.0,0,129,2026-09-10 14:00:00+09:00,27,1794390.0,1973829.0000000002,False,14140.0,False,14010.0,2026-09-11 09:00:00+09:00,TARGET,179439.00000000023
456010,아이씨티케이,17150.0,0,115,2026-09-11 12:00:00+09:00,28,1972250.0,2066550.0,False,18370.0,False,17970.0,2026-09-14 14:00:00+09:00,PERIOD_END,94300.0
