code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
041510,에스엠,75700.0,0,13,2026-08-04 11:00:00+09:00,1,984100.0,962000.0,False,78600.0,True,74000.0,2026-08-06 09:00:00+09:00,TIME_NEXT_OPEN,-22100.0
257720,실리콘투,39000.0,0,25,2026-08-07 09:00:00+09:00,4,975000.0,972500.0,False,40400.0,True,38150.0,2026-08-11 09:00:00+09:00,TIME_NEXT_OPEN,-2500.0
079650,서산,5090.0,0,191,2026-08-11 11:00:00+09:00,6,972190.0,1069409.0,False,5240.0,False,5240.0,2026-08-12 09:00:00+09:00,TARGET,97219.0
067310,하나마이크론,36200.0,0,29,2026-08-13 11:00:00+09:00,8,1049800.0,1154780.0,False,37900.0,False,36250.0,2026-08-18 09:00:00+09:00,TARGET,104980.0
192820,코스맥스,259500.0,0,4,2026-08-20 11:00:00+09:00,12,1038000.0,1141800.0,False,285000.0,False,285000.0,2026-08-24 10:00:00+09:00,TARGET,103800.0
003350,한국화장품제조,13290.0,0,96,2026-08-25 11:00:00+09:00,15,1275840.0,1403424.0000000002,False,14450.0,False,13910.0,2026-08-25 14:00:00+09:00,TARGET,127584.00000000023
083650,비에이치아이,65200.0,0,21,2026-08-26 09:00:00+09:00,16,1369200.0,1335600.0,False,66800.0,True,63700.0,2026-08-28 09:00:00+09:00,TIME_NEXT_OPEN,-33600.0
356680,엑스게이트,12340.0,0,111,2026-08-28 11:00:00+09:00,18,1369740.0,1275390.0,False,13280.0,False,12150.0,2026-08-31 09:00:00+09:00,STOP_GAP,-94350.0
014950,삼익제약,5440.0,0,235,2026-08-31 11:00:00+09:00,19,1278400.0,1406240.0000000002,False,5600.0,False,5390.0,2026-09-01 09:00:00+09:00,TARGET,127840.00000000023
375500,DL이앤씨,73700.0,0,19,2026-09-03 14:00:00+09:00,22,1400300.0,1407900.0,False,74500.0,True,73500.0,2026-09-07 09:00:00+09:00,TIME_NEXT_OPEN,7600.0
375500,DL이앤씨,77400.0,0,18,2026-09-07 13:00:00+09:00,24,1393200.0,1532520.0,False,84000.0,False,83200.0,2026-09-11 09:00:00+09:00,TARGET,139320.0
456010,아이씨티케이,17010.0,0,91,2026-09-11 11:00:00+09:00,28,1547910.0,1635270.0,False,18370.0,False,17970.0,2026-09-14 14:00:00+09:00,PERIOD_END,87360.0
