code,name,market,price,market_cap,amount
0161M0,네오사피엔스,KOSDAQ,36900,450800000000.0,1325995.0
036540,SFA반도체,KOSDAQ,10610,1744900000000.0,292670.0
067310,하나마이크론,KOSDAQ,45150,3002100000000.0,284525.0
010170,대한광통신,KOSDAQ,18060,2808100000000.0,259268.0
017900,광전자,KOSPI,10980,636200000000.0,220447.0
386380,스카이랩스,KOSDAQ,25250,473700000000.0,205055.0
437730,삼현,KOSDAQ,55600,1762900000000.0,184978.0
001820,삼화콘덴서,KOSPI,146300,1520800000000.0,178442.0
232140,와이씨,KOSDAQ,14290,1172400000000.0,155866.0
043260,성호전자,KOSDAQ,27150,2048500000000.0,147858.0
950260,인제니아테라퓨틱스(Reg.S),KOSDAQ,21850,1080400000000.0,147517.0
475830,오름테라퓨틱,KOSDAQ,26550,577500000000.0,132882.0
425040,티이엠씨,KOSDAQ,12960,284100000000.0,107463.0
041190,우리기술투자,KOSDAQ,6120,488400000000.0,84176.0
032820,우리기술,KOSDAQ,13540,2339500000000.0,83366.0
356680,엑스게이트,KOSDAQ,18040,514900000000.0,82528.0
010060,OCI홀딩스,KOSPI,193000,3603400000000.0,79746.0
030530,원익홀딩스,KOSDAQ,27000,2085400000000.0,78524.0
403870,HPSP,KOSDAQ,55300,4551200000000.0,76880.0
204270,제이앤티씨,KOSDAQ,25300,1463600000000.0,73756.0
131970,두산테스나,KOSDAQ,95700,1849600000000.0,72843.0
218410,RFHIC,KOSDAQ,60600,1610500000000.0,69099.0
080220,제주반도체,KOSDAQ,75900,2614200000000.0,68534.0
003160,디아이,KOSPI,35500,1004700000000.0,67029.0
462860,더즌,KOSDAQ,3270,234700000000.0,63556.0
125490,한라캐스트,KOSDAQ,12530,457400000000.0,59732.0
319660,피에스케이,KOSDAQ,138300,4006100000000.0,54899.0
066970,엘앤에프,KOSPI,108800,4426700000000.0,51735.0
322000,HD현대에너지솔루션,KOSPI,119700,1340600000000.0,50742.0
108490,로보티즈,KOSDAQ,308000,4517400000000.0,50422.0
240550,동방메디컬,KOSDAQ,6330,132500000000.0,48273.0
028300,HLB,KOSDAQ,31900,4249000000000.0,47202.0
006360,GS건설,KOSPI,36800,3149400000000.0,46757.0
093370,후성,KOSPI,13960,1497300000000.0,46710.0
089030,테크윙,KOSDAQ,48300,1789700000000.0,45279.0
332570,PS일렉트로닉스,KOSDAQ,9420,432800000000.0,42936.0
336260,두산퓨얼셀,KOSPI,48700,3189500000000.0,42478.0
095610,테스,KOSDAQ,149600,2896300000000.0,41150.0
010580,에스엠벡셀,KOSPI,2790,310400000000.0,40046.0
217590,티엠씨,KOSPI,14440,347900000000.0,39994.0
201490,미투온,KOSDAQ,4080,133500000000.0,36783.0
144960,뉴파워프라즈마,KOSDAQ,11870,518600000000.0,36246.0
327260,RF머트리얼즈,KOSDAQ,49450,889500000000.0,35641.0
078350,한양디지텍,KOSDAQ,28150,429100000000.0,34636.0
027360,아주IB투자,KOSDAQ,4035,488800000000.0,34181.0
178320,서진시스템,KOSDAQ,32800,2090100000000.0,33733.0
002990,금호건설,KOSPI,13740,512000000000.0,33624.0
006340,대원전선,KOSPI,13700,1074300000000.0,31653.0
005690,파미셀,KOSPI,12400,744000000000.0,31604.0
319400,현대무벡스,KOSDAQ,21900,2439100000000.0,31468.0
226950,올릭스,KOSDAQ,107000,2434300000000.0,30982.0
131290,티에스이,KOSDAQ,269500,2981100000000.0,30760.0
298380,에이비엘바이오,KOSDAQ,53600,3000900000000.0,30361.0
103590,일진전기,KOSPI,73900,3524000000000.0,30261.0
069540,빛과전자,KOSDAQ,4110,463200000000.0,30207.0
095340,ISC,KOSDAQ,199400,4226700000000.0,29474.0
456010,아이씨티케이,KOSDAQ,22200,322000000000.0,29204.0
478340,나라스페이스테크놀로지,KOSDAQ,14210,165000000000.0,28996.0
122640,예스티,KOSDAQ,32250,698300000000.0,28948.0
257720,실리콘투,KOSDAQ,41150,2698500000000.0,28280.0
064290,인텍플러스,KOSDAQ,50700,656900000000.0,27832.0
098460,고영,KOSDAQ,28650,1954100000000.0,27772.0
004310,현대약품,KOSPI,9300,297600000000.0,27460.0
417030,니어스랩,KOSDAQ,34150,197300000000.0,27166.0
483650,달바글로벌,KOSPI,183500,2298500000000.0,27095.0
046970,우리로,KOSDAQ,8000,350600000000.0,26408.0
452280,한선엔지니어링,KOSDAQ,13670,263100000000.0,24255.0
475150,SK이터닉스,KOSPI,50600,1723800000000.0,24041.0
387690,레메디,KOSDAQ,17150,130800000000.0,23870.0
031980,피에스케이홀딩스,KOSDAQ,170000,3665600000000.0,23406.0
083650,비에이치아이,KOSDAQ,62200,1924700000000.0,23378.0
347700,스피어,KOSDAQ,23450,1208900000000.0,23254.0
160190,하이젠알앤엠,KOSDAQ,30100,929700000000.0,22951.0
072950,빛샘전자,KOSDAQ,13780,111000000000.0,22936.0
058610,에스피지,KOSDAQ,100500,2228800000000.0,22927.0
328130,루닛,KOSDAQ,10240,762500000000.0,22796.0
234340,헥토파이낸셜,KOSDAQ,21750,303900000000.0,22681.0
161890,한국콜마,KOSPI,145900,3444000000000.0,22662.0
024840,KBI메탈,KOSDAQ,6360,276400000000.0,22604.0
310210,보로노이,KOSDAQ,154200,2858300000000.0,22306.0
089970,브이엠,KOSDAQ,55500,1461100000000.0,22037.0
042370,비츠로테크,KOSDAQ,11030,289000000000.0,22020.0
034220,LG디스플레이,KOSPI,8570,4285000000000.0,21782.0
004020,현대제철,KOSPI,35400,4724000000000.0,21682.0
375500,DL이앤씨,KOSPI,85400,3304400000000.0,21630.0
