tier,code,name,market,close,pivot_next,gap_pct,req_volume
YELLOW,031980,피에스케이홀딩스,KOSDAQ,170000.0,174000.0,2.35294117647058,278677.19999999995
YELLOW,252990,샘씨엔에스,KOSDAQ,18090.0,18390.0,1.6583747927031434,1037172.9750000001
YELLOW,098120,마이크로컨텍솔,KOSDAQ,57600.0,58100.0,0.868055555555558,220713.30000000002
