code,name,market,price,market_cap,amount
010170,대한광통신,KOSDAQ,18400,2860900000000.0,1004652.0
043260,성호전자,KOSDAQ,26400,1991900000000.0,513134.0
001820,삼화콘덴서,KOSPI,143900,1495800000000.0,246650.0
017900,광전자,KOSPI,10560,611900000000.0,223066.0
072950,빛샘전자,KOSDAQ,13980,112600000000.0,222071.0
006340,대원전선,KOSPI,13940,1093100000000.0,171446.0
046970,우리로,KOSDAQ,8140,356700000000.0,165769.0
005690,파미셀,KOSPI,12550,753100000000.0,134889.0
001210,금호전기,KOSPI,10950,136400000000.0,123276.0
006360,GS건설,KOSPI,37200,3183600000000.0,121060.0
218410,RFHIC,KOSDAQ,61300,1629100000000.0,109595.0
125490,한라캐스트,KOSDAQ,11930,435500000000.0,106305.0
024840,KBI메탈,KOSDAQ,6430,278400000000.0,100356.0
356680,엑스게이트,KOSDAQ,17370,495800000000.0,93805.0
950260,인제니아테라퓨틱스(Reg.S),KOSDAQ,18330,906300000000.0,91814.0
032820,우리기술,KOSDAQ,13970,2413800000000.0,86086.0
119850,지엔씨에너지,KOSDAQ,54000,888200000000.0,80905.0
475150,SK이터닉스,KOSPI,51200,1744200000000.0,78232.0
069540,빛과전자,KOSDAQ,4100,462000000000.0,77422.0
274090,켄코아에어로스페이스,KOSDAQ,12880,177400000000.0,77025.0
042370,비츠로테크,KOSDAQ,11630,304700000000.0,75246.0
319400,현대무벡스,KOSDAQ,22850,2544900000000.0,73157.0
108490,로보티즈,KOSDAQ,307500,4510100000000.0,69175.0
003350,한국화장품제조,KOSPI,15600,353500000000.0,66689.0
089970,브이엠,KOSDAQ,55100,1450600000000.0,66499.0
327260,RF머트리얼즈,KOSDAQ,48650,875200000000.0,66031.0
478340,나라스페이스테크놀로지,KOSDAQ,14100,163100000000.0,63734.0
103590,일진전기,KOSPI,75900,3619300000000.0,63411.0
067310,하나마이크론,KOSDAQ,38550,2563200000000.0,62338.0
093370,후성,KOSPI,14570,1562700000000.0,61474.0
115440,우리넷,KOSDAQ,10220,110300000000.0,59061.0
483650,달바글로벌,KOSPI,182100,2281000000000.0,57090.0
403870,HPSP,KOSDAQ,53700,4419500000000.0,56807.0
222800,심텍,KOSDAQ,125900,4781000000000.0,55350.0
229640,LS에코에너지,KOSPI,60300,1846700000000.0,55105.0
217590,티엠씨,KOSPI,14930,359700000000.0,53983.0
347700,스피어,KOSDAQ,24450,1260400000000.0,52178.0
201490,미투온,KOSDAQ,4175,136600000000.0,50203.0
456010,아이씨티케이,KOSDAQ,22350,324100000000.0,49589.0
082740,한화엔진,KOSPI,51600,4305900000000.0,46705.0
080220,제주반도체,KOSDAQ,73400,2528100000000.0,46341.0
002990,금호건설,KOSPI,13480,502300000000.0,45631.0
098460,고영,KOSDAQ,27750,1892700000000.0,44489.0
183300,코미코,KOSDAQ,30850,1584600000000.0,44278.0
030530,원익홀딩스,KOSDAQ,26300,2031400000000.0,44181.0
036540,SFA반도체,KOSDAQ,8990,1478500000000.0,43945.0
078350,한양디지텍,KOSDAQ,24700,376500000000.0,42844.0
066970,엘앤에프,KOSPI,110500,4495800000000.0,41646.0
052710,아모텍,KOSDAQ,16960,316800000000.0,41017.0
332570,PS일렉트로닉스,KOSDAQ,9170,421300000000.0,40910.0
028300,HLB,KOSDAQ,30050,4002600000000.0,40505.0
131970,두산테스나,KOSDAQ,86300,1667900000000.0,40504.0
004310,현대약품,KOSPI,10000,320000000000.0,40190.0
420770,기가비스,KOSDAQ,112100,1421000000000.0,40053.0
161890,한국콜마,KOSPI,145500,3434500000000.0,39641.0
050890,쏠리드,KOSDAQ,9740,591800000000.0,38531.0
178320,서진시스템,KOSDAQ,34050,2169800000000.0,38434.0
375500,DL이앤씨,KOSPI,86800,3358600000000.0,37859.0
417200,LS머트리얼즈,KOSDAQ,13730,928900000000.0,35365.0
145020,휴젤,KOSDAQ,215000,2690800000000.0,35329.0
004020,현대제철,KOSPI,35850,4784000000000.0,35004.0
386380,스카이랩스,KOSDAQ,19540,366600000000.0,34994.0
082920,비츠로셀,KOSDAQ,29450,1329400000000.0,33285.0
004170,신세계,KOSPI,364000,3438000000000.0,33147.0
034220,LG디스플레이,KOSPI,8420,4210000000000.0,33085.0
001450,현대해상,KOSPI,48400,4126000000000.0,32961.0
347850,디앤디파마텍,KOSDAQ,45000,2062700000000.0,32697.0
322000,HD현대에너지솔루션,KOSPI,126800,1420200000000.0,32269.0
437730,삼현,KOSDAQ,51000,1617100000000.0,31495.0
126730,코칩,KOSDAQ,23700,207900000000.0,31245.0
214450,파마리서치,KOSDAQ,327000,3397400000000.0,31166.0
257720,실리콘투,KOSDAQ,41300,2708300000000.0,30967.0
204270,제이앤티씨,KOSDAQ,23700,1371000000000.0,30269.0
271560,오리온,KOSPI,112500,4447000000000.0,29445.0
001040,CJ,KOSPI,127500,3720100000000.0,28753.0
336260,두산퓨얼셀,KOSPI,50200,3287800000000.0,28038.0
051900,LG생활건강,KOSPI,293500,4395300000000.0,27642.0
127120,제이에스링크,KOSDAQ,32450,1202700000000.0,27419.0
027360,아주IB투자,KOSDAQ,3880,470000000000.0,26684.0
083650,비에이치아이,KOSDAQ,64100,1983500000000.0,26295.0
007810,코리아써키트,KOSPI,52200,1251900000000.0,25852.0
010060,OCI홀딩스,KOSPI,203500,3799400000000.0,25684.0
030000,제일기획,KOSPI,17430,2005200000000.0,25014.0
138930,BNK금융지주,KOSPI,15750,4832700000000.0,24953.0
004370,농심,KOSPI,392500,2387400000000.0,24325.0
298380,에이비엘바이오,KOSDAQ,56200,3146500000000.0,24197.0
012200,계양전기,KOSPI,3930,107000000000.0,24187.0
014680,한솔케미칼,KOSPI,215000,2320700000000.0,24140.0
008930,한미사이언스,KOSPI,48900,3344300000000.0,24032.0
192820,코스맥스,KOSPI,274000,3109800000000.0,23451.0
415640,KB발해인프라,KOSPI,10330,1265900000000.0,23422.0
160190,하이젠알앤엠,KOSDAQ,26550,820100000000.0,23409.0
443670,에스피소프트,KOSDAQ,5470,131300000000.0,23060.0
265740,엔에프씨,KOSDAQ,8250,147400000000.0,22484.0
417030,니어스랩,KOSDAQ,30900,178500000000.0,22233.0
090460,비에이치,KOSPI,20350,686000000000.0,21885.0
125020,티씨머티리얼즈,KOSDAQ,6410,224600000000.0,21783.0
024060,흥구석유,KOSDAQ,12930,194000000000.0,21756.0
112610,씨에스윈드,KOSPI,51800,2184500000000.0,21612.0
226950,올릭스,KOSDAQ,112000,2548100000000.0,21465.0
138080,오이솔루션,KOSDAQ,27600,341600000000.0,21159.0
081660,미스토홀딩스,KOSPI,38400,2038700000000.0,20172.0
126340,비나텍,KOSDAQ,81100,582300000000.0,20135.0
413630,씨피시스템,KOSDAQ,4385,159800000000.0,19803.0
452280,한선엔지니어링,KOSDAQ,13590,261600000000.0,19394.0
036570,NC,KOSPI,209000,4502700000000.0,19263.0
089030,테크윙,KOSDAQ,45700,1693400000000.0,18686.0
095610,테스,KOSDAQ,138100,2673600000000.0,18626.0
008770,호텔신라,KOSPI,40750,1599400000000.0,18574.0
067290,JW신약,KOSDAQ,3380,189400000000.0,18496.0
290550,디케이티,KOSDAQ,21250,425000000000.0,18298.0
058610,에스피지,KOSDAQ,99100,2197800000000.0,18269.0
054920,한컴위드,KOSDAQ,4930,139100000000.0,18229.0
023530,롯데쇼핑,KOSPI,114100,3227700000000.0,18150.0
282330,BGF리테일,KOSPI,137600,2378300000000.0,17928.0
195870,해성디에스,KOSPI,56600,962200000000.0,17826.0
100790,미래에셋벤처투자,KOSDAQ,17670,938600000000.0,17791.0
097950,CJ제일제당,KOSPI,175000,2634500000000.0,17764.0
319660,피에스케이,KOSDAQ,126700,3670100000000.0,17533.0
028670,팬오션,KOSPI,5770,3084500000000.0,17352.0
031980,피에스케이홀딩스,KOSDAQ,159900,3447800000000.0,17325.0
064290,인텍플러스,KOSDAQ,46800,606400000000.0,17114.0
060370,LS마린솔루션,KOSDAQ,33650,1757800000000.0,17099.0
020150,롯데에너지머티리얼즈,KOSPI,42200,2209800000000.0,16891.0
087010,펩트론,KOSDAQ,155900,3635200000000.0,16586.0
033790,피노,KOSDAQ,8080,673200000000.0,16343.0
310210,보로노이,KOSDAQ,132800,2459900000000.0,16170.0
356860,티엘비,KOSDAQ,37450,887600000000.0,16166.0
035510,신세계 I&C,KOSPI,15830,221300000000.0,15898.0
006910,보성파워텍,KOSDAQ,7680,377300000000.0,15883.0
489790,한화비전,KOSPI,47350,2390600000000.0,15827.0
139130,iM금융지주,KOSPI,18190,2880600000000.0,15677.0
002380,KCC,KOSPI,466000,4004300000000.0,15659.0
