code,name,market,price,market_cap,amount
027360,아주IB투자,KOSDAQ,3950,478500000000.0,12398.0
141080,리가켐바이오,KOSDAQ,80100,2965300000000.0,12392.0
011790,SKC,KOSPI,88800,4404300000000.0,12362.0
122640,예스티,KOSDAQ,31600,684200000000.0,12240.0
252990,샘씨엔에스,KOSDAQ,17350,1044800000000.0,12222.0
452280,한선엔지니어링,KOSDAQ,13440,258700000000.0,12064.0
003530,한화투자증권,KOSPI,4660,999800000000.0,11865.0
126340,비나텍,KOSDAQ,83000,596000000000.0,11706.0
295310,에이치브이엠,KOSDAQ,58300,723200000000.0,11472.0
100790,미래에셋벤처투자,KOSDAQ,17180,912600000000.0,11335.0
020150,롯데에너지머티리얼즈,KOSPI,40350,2112900000000.0,11291.0
