scan,day,code,name,signal_bar,score,pattern,volume_component,extension_atr,trend,breakout,money,hold,rank,status,return_pct,hit,entry_price,target_price,hit_bar,sessions_to_hit,exit_bar,stop_price
2026-08-03 13:00:00+09:00,2026-08-03,187660,페니트리움바이오,2026-08-03 12:00:00+09:00,79.40161288363137,rebound,66.73352874782505,1.3543746330005877,False,False,False,False,1,STOP,-5.937136204889404,False,4295.0,4724.5,,,2026-08-04 09:00:00+09:00,4080.25
2026-08-03 13:00:00+09:00,2026-08-03,226950,올릭스,2026-08-03 12:00:00+09:00,69.42631372202013,rebound,18.06756140279632,2.545706006322444,False,False,False,False,2,TARGET,10.0,True,107400.0,118140.0,2026-08-04 09:00:00+09:00,2.0,2026-08-04 09:00:00+09:00,102030.0
2026-08-03 13:00:00+09:00,2026-08-03,069540,빛과전자,2026-08-03 12:00:00+09:00,67.98990550487302,rebound,19.11542707710837,2.137226970560303,True,False,False,False,3,TARGET,10.0,True,2020.0,2222.0,2026-08-04 09:00:00+09:00,2.0,2026-08-04 09:00:00+09:00,1919.0
2026-08-03 13:00:00+09:00,2026-08-03,032940,원익,2026-08-03 12:00:00+09:00,67.82132704252267,rebound,100.0,3.374313186813187,True,False,False,False,4,STOP,-5.000000000000004,False,5850.0,6435.0,,,2026-08-04 09:00:00+09:00,5557.5
2026-08-03 13:00:00+09:00,2026-08-03,347850,디앤디파마텍,2026-08-03 12:00:00+09:00,67.59227516739588,rebound,31.5925463208296,3.1148867313915853,True,False,False,False,5,TARGET,10.0,True,57300.0,63030.0,2026-08-04 09:00:00+09:00,2.0,2026-08-04 09:00:00+09:00,54435.0
2026-08-03 14:00:00+09:00,2026-08-03,282880,코윈로보틱스,2026-08-03 13:00:00+09:00,77.65103126588897,rebound,100.0,2.1993326308394825,True,False,False,False,1,OPEN_MARK_TO_MARKET,4.500548847420416,False,9110.0,10021.0,,,,8654.5
2026-08-03 14:00:00+09:00,2026-08-03,004310,현대약품,2026-08-03 13:00:00+09:00,63.82850973364076,base_breakout,38.3426181770084,1.2107275254865622,False,False,False,False,2,TARGET,10.0,True,5500.0,6050.0,2026-08-05 12:00:00+09:00,3.0,2026-08-05 12:00:00+09:00,5225.0
2026-08-03 14:00:00+09:00,2026-08-03,294570,쿠콘,2026-08-03 13:00:00+09:00,55.98879112285401,rebound,23.867744428233976,2.786002257700372,True,False,False,False,3,TARGET,10.0,True,17720.0,19492.0,2026-08-06 09:00:00+09:00,4.0,2026-08-06 09:00:00+09:00,16834.0
2026-08-03 14:00:00+09:00,2026-08-03,079650,서산,2026-08-03 13:00:00+09:00,54.49218344232469,rebound,25.2601482211636,1.642446471054718,True,False,False,False,4,STOP,-5.000000000000004,False,4410.0,4851.0,,,2026-08-06 10:00:00+09:00,4189.5
2026-08-03 14:00:00+09:00,2026-08-03,032940,원익,2026-08-03 13:00:00+09:00,49.89964222808514,rebound,25.10799000701992,2.824992478186743,True,False,False,False,5,STOP,-5.000000000000004,False,5720.0,6292.0,,,2026-08-04 09:00:00+09:00,5434.0
2026-08-04 09:00:00+09:00,2026-08-04,282880,코윈로보틱스,2026-08-03 14:00:00+09:00,73.77565965314527,rebound,100.0,1.922380786634178,True,False,False,False,1,TARGET,10.0,True,9050.0,9955.0,2026-08-10 10:00:00+09:00,5.0,2026-08-10 10:00:00+09:00,8597.5
2026-08-04 09:00:00+09:00,2026-08-04,0039P0,매드업,2026-08-03 14:00:00+09:00,71.62161365610277,rebound,64.86741713156844,1.846104282315622,True,False,False,False,2,STOP,-5.000000000000004,False,7700.0,8470.0,,,2026-08-04 14:00:00+09:00,7315.0
2026-08-04 09:00:00+09:00,2026-08-04,004310,현대약품,2026-08-03 14:00:00+09:00,58.58665584149484,rebound,42.75409280426089,1.2089792336940632,False,False,False,False,3,TARGET,10.0,True,5400.0,5940.0,2026-08-05 12:00:00+09:00,2.0,2026-08-05 12:00:00+09:00,5130.0
2026-08-04 09:00:00+09:00,2026-08-04,071200,인피니트헬스케어,2026-08-03 14:00:00+09:00,53.29296150632179,base_breakout,66.09685881366023,3.9146153846153866,True,False,False,False,4,STOP,-5.000000000000004,False,9100.0,10010.0,,,2026-08-04 09:00:00+09:00,8645.0
2026-08-04 10:00:00+09:00,2026-08-04,411080,샌즈랩,2026-08-04 09:00:00+09:00,82.04081289889152,base_breakout,100.0,2.4630500503862938,True,False,False,False,1,TARGET,10.0,True,3840.0,4224.0,2026-08-06 14:00:00+09:00,3.0,2026-08-06 14:00:00+09:00,3648.0
2026-08-04 10:00:00+09:00,2026-08-04,010060,OCI홀딩스,2026-08-04 09:00:00+09:00,81.12634952766534,base_breakout,100.0,3.100483580746739,True,False,False,False,2,TARGET,10.0,True,215500.0,237050.0,2026-08-05 09:00:00+09:00,2.0,2026-08-05 09:00:00+09:00,204725.0
2026-08-04 10:00:00+09:00,2026-08-04,327260,RF머트리얼즈,2026-08-04 09:00:00+09:00,80.2254760431704,base_breakout,100.0,3.847666185467794,True,False,False,False,3,TARGET,10.0,True,26850.0,29535.0,2026-08-04 11:00:00+09:00,1.0,2026-08-04 11:00:00+09:00,25507.5
2026-08-04 10:00:00+09:00,2026-08-04,083650,비에이치아이,2026-08-04 09:00:00+09:00,77.70399893715954,base_breakout,100.0,4.197024046764981,True,False,False,False,4,TARGET,10.0,True,47550.0,52305.0,2026-08-05 12:00:00+09:00,2.0,2026-08-05 12:00:00+09:00,45172.5
2026-08-04 10:00:00+09:00,2026-08-04,475150,SK이터닉스,2026-08-04 09:00:00+09:00,77.5685019755174,base_breakout,96.2991293847546,2.9418626440550923,False,False,False,False,5,TARGET,10.0,True,54100.0,59510.0,2026-08-05 09:00:00+09:00,2.0,2026-08-05 09:00:00+09:00,51395.0
2026-08-04 11:00:00+09:00,2026-08-04,257720,실리콘투,2026-08-04 10:00:00+09:00,76.49973476221184,rebound,80.0865464138572,2.3247863247863263,False,False,False,False,1,OPEN_MARK_TO_MARKET,2.8301886792452935,False,37100.0,40810.0,,,,35245.0
2026-08-04 11:00:00+09:00,2026-08-04,217590,티엠씨,2026-08-04 10:00:00+09:00,73.72495849474267,base_breakout,100.0,4.707470946319866,True,False,False,False,2,TARGET,10.0,True,12580.0,13838.0,2026-08-05 09:00:00+09:00,2.0,2026-08-05 09:00:00+09:00,11951.0
2026-08-04 11:00:00+09:00,2026-08-04,477850,마키나락스,2026-08-04 10:00:00+09:00,73.48921138046612,rebound,86.15239498919954,0.4904798172124921,False,False,False,False,3,TARGET,10.0,True,21950.0,24145.0,2026-08-05 09:00:00+09:00,2.0,2026-08-05 09:00:00+09:00,20852.5
2026-08-04 11:00:00+09:00,2026-08-04,006360,GS건설,2026-08-04 10:00:00+09:00,73.26814734561212,base_breakout,100.0,4.523835319609968,True,False,False,False,4,TARGET,10.0,True,27950.0,30745.0,2026-08-05 09:00:00+09:00,2.0,2026-08-05 09:00:00+09:00,26552.5
2026-08-04 11:00:00+09:00,2026-08-04,187660,페니트리움바이오,2026-08-04 10:00:00+09:00,71.75213205616248,rebound,100.0,1.2189927336507145,True,False,False,False,5,STOP,-5.000000000000004,False,4325.0,4757.5,,,2026-08-04 14:00:00+09:00,4108.75
2026-08-04 12:00:00+09:00,2026-08-04,257720,실리콘투,2026-08-04 11:00:00+09:00,78.48739216498639,rebound,100.0,2.277692307692309,True,False,False,False,1,OPEN_MARK_TO_MARKET,3.247631935047357,False,36950.0,40645.0,,,,35102.5
2026-08-04 12:00:00+09:00,2026-08-04,477850,마키나락스,2026-08-04 11:00:00+09:00,77.86794299736455,rebound,89.19177134990366,0.6353488965429254,False,False,False,False,2,TARGET,10.0,True,21850.0,24035.0,2026-08-05 09:00:00+09:00,2.0,2026-08-05 09:00:00+09:00,20757.5
