scan,day,code,name,signal_bar,score,pattern,volume_component,extension_atr,trend,breakout,money,hold,rank,hit,entry_price,target_price,hit_bar,sessions_to_hit,return_pct,status,exit_bar,stop_price
2026-08-26 11:00:00+09:00,2026-08-26,006360,GS건설,2026-08-26 10:00:00+09:00,76.48260088807618,rebound,100.0,3.164947107222152,True,True,True,True,1,False,37800.0,41580.0,,,-5.000000000000004,STOP,2026-08-28 09:00:00+09:00,35910.0
2026-08-28 11:00:00+09:00,2026-08-28,356680,엑스게이트,2026-08-28 10:00:00+09:00,68.42175106394942,rebound,100.0,2.932666529181276,True,False,False,True,1,False,12340.0,13574.0,,,-6.888168557536467,STOP,2026-08-31 09:00:00+09:00,11723.0
2026-08-31 11:00:00+09:00,2026-08-31,014950,삼익제약,2026-08-31 10:00:00+09:00,72.3814728330116,rebound,100.0,3.267390040689787,True,False,False,True,1,True,5440.0,5984.0,2026-09-01 09:00:00+09:00,2.0,10.0,TARGET,2026-09-01 09:00:00+09:00,5168.0
2026-08-31 12:00:00+09:00,2026-08-31,187660,페니트리움바이오,2026-08-31 11:00:00+09:00,53.33736656257887,base_breakout,19.49919386224946,3.1622943530457976,True,False,False,True,1,True,4725.0,5197.5,2026-09-03 09:00:00+09:00,4.0,10.0,TARGET,2026-09-03 09:00:00+09:00,4488.75
2026-09-03 14:00:00+09:00,2026-09-03,375500,DL이앤씨,2026-09-03 13:00:00+09:00,78.04816609162359,rebound,70.16168965007624,1.940765117235702,True,False,False,True,1,True,73700.0,81070.0,2026-09-08 09:00:00+09:00,4.0,10.0,TARGET,2026-09-08 09:00:00+09:00,70015.0
2026-09-04 11:00:00+09:00,2026-09-04,064290,인텍플러스,2026-09-04 10:00:00+09:00,76.150904544786,base_breakout,100.0,3.6703927048095326,True,True,True,True,1,True,40500.0,44550.0,2026-09-09 09:00:00+09:00,4.0,10.0,TARGET,2026-09-09 09:00:00+09:00,38475.0
2026-09-07 09:00:00+09:00,2026-09-07,095610,테스,2026-09-04 14:00:00+09:00,63.3642668474116,rebound,29.75264975087328,2.545019811449649,True,False,False,True,1,,,,,,,NO_FILL,,
2026-09-07 13:00:00+09:00,2026-09-07,375500,DL이앤씨,2026-09-07 12:00:00+09:00,60.8318447829696,base_breakout,31.13198799287515,3.261685682738312,True,True,True,True,1,True,77400.0,85140.0,2026-09-11 09:00:00+09:00,5.0,10.0,TARGET,2026-09-11 09:00:00+09:00,73530.0
2026-09-08 09:00:00+09:00,2026-09-08,004020,현대제철,2026-09-07 14:00:00+09:00,56.87240782257086,base_breakout,40.72755279380399,2.5405265875064558,True,False,False,True,1,False,32750.0,36025.0,,,1.0687022900763399,OPEN_MARK_TO_MARKET,,31112.5
2026-09-08 10:00:00+09:00,2026-09-08,375500,DL이앤씨,2026-09-08 09:00:00+09:00,69.12413295977073,base_breakout,84.66548361639971,3.1039415130324186,True,False,False,True,1,False,78900.0,86790.0,,,8.365019011406849,OPEN_MARK_TO_MARKET,,74955.0
2026-09-09 10:00:00+09:00,2026-09-09,024060,흥구석유,2026-09-09 09:00:00+09:00,72.92652729855901,base_breakout,100.0,3.875786482646642,True,False,False,True,1,,,,,,,CENSORED,,
2026-09-09 13:00:00+09:00,2026-09-09,361610,SK아이이테크놀로지,2026-09-09 12:00:00+09:00,69.73681057321507,base_breakout,51.95775590722018,3.060822898032204,True,True,True,True,1,,,,,,,CENSORED,,
2026-09-09 13:00:00+09:00,2026-09-09,012210,삼미금속,2026-09-09 12:00:00+09:00,65.40232429441063,base_breakout,100.0,3.603209739900388,True,False,False,True,2,,,,,,,CENSORED,,
2026-09-10 13:00:00+09:00,2026-09-10,252990,샘씨엔에스,2026-09-10 12:00:00+09:00,84.34016295231241,rebound,100.0,2.085909417685121,True,False,False,True,1,,,,,,,CENSORED,,
2026-09-11 11:00:00+09:00,2026-09-11,456010,아이씨티케이,2026-09-11 10:00:00+09:00,74.71771802945895,rebound,100.0,3.339042873455827,True,False,False,True,1,,,,,,,CENSORED,,
2026-09-11 11:00:00+09:00,2026-09-11,054920,한컴위드,2026-09-11 10:00:00+09:00,74.51230625936185,rebound,100.0,3.802753666566895,True,False,False,True,2,,,,,,,CENSORED,,
2026-09-14 11:00:00+09:00,2026-09-14,017900,광전자,2026-09-14 10:00:00+09:00,83.90532986027172,rebound,100.0,2.6350051975051985,True,False,False,True,1,,,,,,,CENSORED,,
2026-09-14 12:00:00+09:00,2026-09-14,053800,안랩,2026-09-14 11:00:00+09:00,67.11982810620778,base_breakout,82.80860372971071,3.941615938018816,True,True,True,True,1,,,,,,,CENSORED,,
