scan,day,code,name,score,lag,mode,trend,trigger_close,entry_open,signal_bar
2026-08-11 11:00:00+09:00,2026-08-11,079650,서산,79.04187312774205,0,money,True,5090.0,5090.0,2026-08-11 10:00:00+09:00
2026-03-13 11:00:00+09:00,2026-03-13,417840,저스템,71.85775147928993,60,hold,False,6760.0,7170.0,2026-03-13 09:00:00+09:00
2026-03-13 11:00:00+09:00,2026-03-13,417840,저스템,71.85775147928993,60,money,False,7210.0,7170.0,2026-03-13 09:00:00+09:00
2026-04-09 11:00:00+09:00,2026-04-09,417840,저스템,79.33725961538462,60,money,False,7020.0,6950.0,2026-04-09 09:00:00+09:00
2026-05-13 11:00:00+09:00,2026-05-13,417840,저스템,73.66042637677529,0,money,True,17030.0,17030.0,2026-05-13 10:00:00+09:00
2026-05-20 11:00:00+09:00,2026-05-20,417840,저스템,70.07673927547891,0,money,True,18290.0,18290.0,2026-05-20 10:00:00+09:00
2026-05-21 11:00:00+09:00,2026-05-21,417840,저스템,68.3712573572638,60,money,True,19370.0,19360.0,2026-05-21 09:00:00+09:00
2026-06-12 11:00:00+09:00,2026-06-12,417840,저스템,69.70712350359413,0,hold,False,17580.0,17740.0,2026-06-12 10:00:00+09:00
2026-06-12 11:00:00+09:00,2026-06-12,417840,저스템,73.76268708666899,60,money,False,17580.0,17740.0,2026-06-12 09:00:00+09:00
2026-09-11 11:00:00+09:00,2026-09-11,417840,저스템,78.15352063059797,60,money,True,15860.0,15790.0,2026-09-11 09:00:00+09:00
2026-01-30 11:00:00+09:00,2026-01-30,023530,롯데쇼핑,76.06544202066593,60,hold,True,79600.0,81500.0,2026-01-30 09:00:00+09:00
2026-05-12 11:00:00+09:00,2026-05-12,023530,롯데쇼핑,72.82989377101701,60,money,True,155800.0,149000.0,2026-05-12 09:00:00+09:00
2026-06-09 11:00:00+09:00,2026-06-09,023530,롯데쇼핑,63.9636362388804,0,money,True,184700.0,184700.0,2026-06-09 10:00:00+09:00
2026-01-02 11:00:00+09:00,2026-01-02,252990,샘씨엔에스,68.83235557680933,0,money,False,6980.0,6980.0,2026-01-02 10:00:00+09:00
2026-01-20 11:00:00+09:00,2026-01-20,252990,샘씨엔에스,78.16369922212614,0,money,False,7060.0,7060.0,2026-01-20 10:00:00+09:00
2026-04-24 11:00:00+09:00,2026-04-24,089030,테크윙,73.80461943026754,0,money,True,61100.0,61000.0,2026-04-24 10:00:00+09:00
2026-06-09 11:00:00+09:00,2026-06-09,089030,테크윙,75.12631216658063,60,money,False,63200.0,60900.0,2026-06-09 09:00:00+09:00
2026-07-01 11:00:00+09:00,2026-07-01,089030,테크윙,79.22882454624025,60,money,False,61900.0,58200.0,2026-07-01 09:00:00+09:00
2026-07-15 11:00:00+09:00,2026-07-15,089030,테크윙,62.08975404504182,60,money,False,53600.0,52000.0,2026-07-15 09:00:00+09:00
2026-01-02 11:00:00+09:00,2026-01-02,089970,브이엠,74.93385358602748,0,hold,True,30200.0,31400.0,2026-01-02 10:00:00+09:00
2026-01-28 11:00:00+09:00,2026-01-28,089970,브이엠,73.95263532763533,60,hold,True,27850.0,28900.0,2026-01-28 09:00:00+09:00
2026-02-11 11:00:00+09:00,2026-02-11,089970,브이엠,57.36896596723525,0,money,True,33050.0,33050.0,2026-02-11 10:00:00+09:00
2026-04-10 11:00:00+09:00,2026-04-10,089970,브이엠,73.25977607858195,60,money,False,47450.0,46800.0,2026-04-10 09:00:00+09:00
2026-05-12 11:00:00+09:00,2026-05-12,089970,브이엠,69.55685367107637,60,money,True,61800.0,58800.0,2026-05-12 09:00:00+09:00
2026-05-22 11:00:00+09:00,2026-05-22,089970,브이엠,78.80769230769229,60,hold,True,59900.0,64300.0,2026-05-22 09:00:00+09:00
2026-06-05 11:00:00+09:00,2026-06-05,089970,브이엠,77.2279597238924,0,money,True,73300.0,73300.0,2026-06-05 10:00:00+09:00
2026-06-26 11:00:00+09:00,2026-06-26,089970,브이엠,79.31547387805958,0,money,True,114700.0,114800.0,2026-06-26 10:00:00+09:00
2026-02-11 11:00:00+09:00,2026-02-11,256840,한국비엔씨,77.3420857988165,0,money,False,5010.0,5000.0,2026-02-11 10:00:00+09:00
2026-09-09 11:00:00+09:00,2026-09-09,256840,한국비엔씨,80.70903010033445,60,money,True,2885.0,2880.0,2026-09-09 09:00:00+09:00
2026-05-08 11:00:00+09:00,2026-05-08,440110,파두,73.66095822502336,0,hold,True,88100.0,90000.0,2026-05-08 10:00:00+09:00
2026-05-08 11:00:00+09:00,2026-05-08,440110,파두,73.49538769448156,60,money,True,88100.0,90000.0,2026-05-08 09:00:00+09:00
