code,name,entry,qty,initial_qty,start,day,cost,proceeds,partial,peak,time_exit,last,exit,reason,pnl
241710,코스메카코리아,76700.0,0,13,2026-07-01 11:00:00+09:00,0,998844.9249999999,1094890.5825,False,83000.0,False,79900.0,2026-07-02 09:00:00+09:00,TARGET,96045.65750000009
041510,에스엠,79900.0,0,13,2026-07-02 11:00:00+09:00,1,1040517.7249999999,985038.16125,False,81600.0,False,76700.0,2026-07-03 10:00:00+09:00,STOP,-55479.563749999856
002990,금호건설,14560.0,0,71,2026-07-07 11:00:00+09:00,4,1035569.08,980353.374,False,14560.0,False,14560.0,2026-07-07 11:00:00+09:00,STOP,-55215.706000000006
073240,금호타이어,7800.0,0,126,2026-07-10 11:00:00+09:00,7,984519.8999999999,932026.095,False,7800.0,False,7800.0,2026-07-13 09:00:00+09:00,STOP,-52493.804999999935
119850,지엔씨에너지,31950.0,0,29,2026-07-15 11:00:00+09:00,10,928171.4624999999,1017421.39125,False,34500.0,False,34000.0,2026-07-16 13:00:00+09:00,TARGET,89249.92875000008
483650,달바글로벌,236500.0,0,4,2026-07-21 11:00:00+09:00,13,947655.4999999999,897127.275,False,242000.0,False,232500.0,2026-07-22 12:00:00+09:00,STOP,-50528.22499999986
112610,씨에스윈드,42300.0,0,22,2026-07-23 11:00:00+09:00,15,932228.5499999999,882522.8775,False,45600.0,False,43350.0,2026-07-27 09:00:00+09:00,STOP,-49705.672499999986
041510,에스엠,75700.0,0,12,2026-08-04 11:00:00+09:00,23,909989.7,910404.0,False,78600.0,False,76000.0,2026-08-10 14:00:00+09:00,MAX_5D,414.30000000004657
079650,서산,5090.0,0,180,2026-08-11 11:00:00+09:00,28,917803.35,1006056.315,False,5240.0,False,5240.0,2026-08-12 09:00:00+09:00,TARGET,88252.96499999997
067310,하나마이크론,36200.0,0,27,2026-08-13 11:00:00+09:00,30,979110.45,1073258.505,False,37900.0,False,36250.0,2026-08-18 09:00:00+09:00,TARGET,94148.05499999993
192820,코스맥스,259500.0,0,4,2026-08-20 11:00:00+09:00,34,1039816.4999999999,1139801.8499999999,False,285000.0,False,285000.0,2026-08-24 10:00:00+09:00,TARGET,99985.34999999998
003350,한국화장품제조,13290.0,0,90,2026-08-25 11:00:00+09:00,37,1198193.1749999998,1313407.5075000003,False,14450.0,False,13910.0,2026-08-25 14:00:00+09:00,TARGET,115214.33250000048
006360,GS건설,37800.0,0,34,2026-08-26 11:00:00+09:00,38,1287449.0999999999,1218803.355,False,39000.0,False,36900.0,2026-08-28 09:00:00+09:00,STOP,-68645.74499999988
356680,엑스게이트,12340.0,0,101,2026-08-28 11:00:00+09:00,40,1248521.095,1158459.1425,False,13280.0,False,12150.0,2026-08-31 09:00:00+09:00,STOP_GAP,-90061.9524999999
014950,삼익제약,5440.0,0,213,2026-08-31 11:00:00+09:00,41,1160747.76,1272361.4640000002,False,5600.0,False,5390.0,2026-09-01 09:00:00+09:00,TARGET,111613.70400000014
064290,인텍플러스,40500.0,0,31,2026-09-04 11:00:00+09:00,45,1257697.125,1378633.1624999999,False,43650.0,False,41100.0,2026-09-09 09:00:00+09:00,TARGET,120936.03749999986
456010,아이씨티케이,17010.0,0,81,2026-09-11 11:00:00+09:00,50,1380221.1675,1512938.71575,False,18370.0,False,17970.0,2026-09-15 09:00:00+09:00,TARGET,132717.54825
