scan,hour,rank,code,name,pattern,score,signal_bar,lag_minutes,volume_ratio,above60,status,hit_1d,hit_3d,hit_5d,return_1d,return_3d,return_5d,hit,entry_price,target_price,hit_bar,sessions_to_hit,return_pct
2026-08-04 10:00:00+09:00,10,1,282880,코윈로보틱스,rebound,73.77565965314527,2026-08-03 14:00:00+09:00,60,8.931504104017982,True,TARGET,False,True,True,2.0697167755991286,5.0,5.0,True,9180.0,9639.0,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 10:00:00+09:00,10,2,0039P0,매드업,rebound,71.62161365610277,2026-08-03 14:00:00+09:00,60,1.867613508368232,True,TARGET,False,True,True,-8.217446270543615,5.0,5.0,True,7910.0,8305.5,2026-08-05 10:00:00+09:00,2.0,5.0
2026-08-04 10:00:00+09:00,10,3,071200,인피니트헬스케어,base_breakout,53.29296150632179,2026-08-03 14:00:00+09:00,60,1.8897434586458841,True,TARGET,True,True,True,5.0,5.0,5.0,True,8640.0,9072.0,2026-08-04 14:00:00+09:00,1.0,5.0
2026-08-04 11:00:00+09:00,11,1,411080,샌즈랩,base_breakout,82.04081289889152,2026-08-04 09:00:00+09:00,60,7.790185693318871,True,TARGET,False,True,True,-1.3732833957553092,5.0,5.0,True,4005.0,4205.25,2026-08-06 14:00:00+09:00,3.0,5.0
2026-08-04 11:00:00+09:00,11,2,010060,OCI홀딩스,base_breakout,81.12634952766534,2026-08-04 09:00:00+09:00,60,2.5792104946242196,True,TARGET,False,True,True,-0.6651884700665134,5.0,5.0,True,225500.0,236775.0,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 11:00:00+09:00,11,3,327260,RF머트리얼즈,base_breakout,80.2254760431704,2026-08-04 09:00:00+09:00,60,4.577457804201713,True,TARGET,False,True,True,3.633217993079585,5.0,5.0,True,28900.0,30345.0,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 11:00:00+09:00,11,4,083650,비에이치아이,base_breakout,77.70399893715954,2026-08-04 09:00:00+09:00,60,2.8902696026040693,True,TARGET,False,True,True,-0.700700700700696,5.0,5.0,True,49950.0,52447.5,2026-08-05 12:00:00+09:00,2.0,5.0
2026-08-04 11:00:00+09:00,11,5,0039P0,매드업,rebound,75.72391997564894,2026-08-04 09:00:00+09:00,60,2.321758016179041,True,TARGET,False,True,True,-4.599211563731931,5.0,5.0,True,7610.0,7990.5,2026-08-05 10:00:00+09:00,2.0,5.0
2026-08-04 12:00:00+09:00,12,1,257720,실리콘투,rebound,76.49973476221184,2026-08-04 10:00:00+09:00,60,2.14155783544943,True,TARGET,False,True,True,0.6765899864682012,5.0,5.0,True,36950.0,38797.5,2026-08-06 13:00:00+09:00,3.0,5.0
2026-08-04 12:00:00+09:00,12,2,217590,티엠씨,base_breakout,73.72495849474267,2026-08-04 10:00:00+09:00,60,3.2309322600435637,True,TARGET,False,True,True,0.6514657980456029,5.0,5.0,True,12280.0,12894.0,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 12:00:00+09:00,12,3,006360,GS건설,base_breakout,73.26814734561212,2026-08-04 10:00:00+09:00,60,2.8335038969277027,True,TARGET,False,True,True,3.5103510351035094,5.0,5.0,True,27775.0,29163.75,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 12:00:00+09:00,12,4,187660,페니트리움바이오,rebound,71.75213205616248,2026-08-04 10:00:00+09:00,60,2.565215126416072,True,TARGET,True,True,True,5.0,5.0,5.0,True,4305.0,4520.25,2026-08-04 13:00:00+09:00,1.0,5.0
2026-08-04 12:00:00+09:00,12,5,028300,HLB,base_breakout,71.63812819860205,2026-08-04 10:00:00+09:00,60,2.2894621253968963,True,TARGET,False,True,True,2.8358208955223896,5.0,5.0,True,33500.0,35175.0,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 13:00:00+09:00,13,1,257720,실리콘투,rebound,78.48739216498639,2026-08-04 11:00:00+09:00,60,2.577835963359186,True,TARGET,False,True,True,0.0,5.0,5.0,True,37200.0,39060.0,2026-08-06 13:00:00+09:00,3.0,5.0
2026-08-04 13:00:00+09:00,13,2,241710,코스메카코리아,rebound,72.65989646313582,2026-08-04 11:00:00+09:00,60,1.0833837202169703,True,TARGET,False,True,True,0.932400932400923,5.0,5.0,True,85800.0,90090.0,2026-08-06 09:00:00+09:00,3.0,5.0
2026-08-04 13:00:00+09:00,13,3,187660,페니트리움바이오,rebound,71.15304968742502,2026-08-04 11:00:00+09:00,60,3.213891658719864,True,TARGET,True,True,True,5.0,5.0,5.0,True,4340.0,4557.0,2026-08-04 13:00:00+09:00,1.0,5.0
2026-08-04 13:00:00+09:00,13,4,192820,코스맥스,rebound,67.36890511199235,2026-08-04 11:00:00+09:00,60,1.0493684966972823,True,TARGET,False,False,True,-0.050916496945008216,3.1059063136456233,5.0,True,196400.0,206220.0,2026-08-07 09:00:00+09:00,4.0,5.0
2026-08-04 13:00:00+09:00,13,5,226950,올릭스,base_breakout,66.36622294482268,2026-08-04 11:00:00+09:00,60,2.8708820193878317,True,TARGET,False,True,True,-0.8203445447087732,5.0,5.0,True,121900.0,127995.0,2026-08-05 09:00:00+09:00,2.0,5.0
