scan,hour,rank,code,name,pattern,score,signal_bar,lag_minutes,volume_ratio,above60,status,hit_1d,hit_3d,hit_5d,return_1d,return_3d,return_5d,hit,entry_price,target_price,hit_bar,sessions_to_hit,return_pct
2026-08-03 13:00:00+09:00,13,2,032940,원익,rebound,72.38857192140838,2026-08-03 11:00:00+09:00,60,17.684211487201956,True,TARGET,False,False,False,-2.564102564102566,1.7094017094017033,-3.2478632478632474,True,5850.0,6142.5,2026-08-11 09:00:00+09:00,7.0,5.0
2026-08-03 13:00:00+09:00,13,3,347850,디앤디파마텍,rebound,69.01765534810791,2026-08-03 11:00:00+09:00,60,1.0248785395049744,True,TARGET,False,True,True,-1.0471204188481686,5.0,5.0,True,57300.0,60165.0,2026-08-04 09:00:00+09:00,2.0,5.0
2026-08-03 13:00:00+09:00,13,4,064550,바이오니아,rebound,68.17980892878326,2026-08-03 11:00:00+09:00,60,2.03070049413793,True,TARGET,False,True,True,0.6033182503770718,5.0,5.0,True,6630.0,6961.5,2026-08-05 09:00:00+09:00,3.0,5.0
2026-08-03 13:00:00+09:00,13,5,456160,지투지바이오,rebound,67.08830421117658,2026-08-03 11:00:00+09:00,60,1.2824522658991988,True,TARGET,False,True,True,-0.8196721311475419,5.0,5.0,True,30500.0,32025.0,2026-08-04 09:00:00+09:00,2.0,5.0
2026-08-03 14:00:00+09:00,14,1,187660,페니트리움바이오,rebound,79.40161288363137,2026-08-03 12:00:00+09:00,60,1.9012035174608508,True,TARGET,False,True,True,0.9546539379474916,5.0,5.0,True,4190.0,4399.5,2026-08-04 09:00:00+09:00,2.0,5.0
2026-08-03 14:00:00+09:00,14,2,226950,올릭스,rebound,69.42631372202013,2026-08-03 12:00:00+09:00,60,1.0252161052503337,True,TARGET,False,True,True,0.2876318312559967,5.0,5.0,True,104300.0,109515.0,2026-08-04 09:00:00+09:00,2.0,5.0
2026-08-03 14:00:00+09:00,14,3,069540,빛과전자,rebound,67.98990550487302,2026-08-03 12:00:00+09:00,60,1.0440776873879507,False,TARGET,False,True,True,0.3537139969681746,5.0,5.0,True,1979.0,2077.9500000000003,2026-08-04 09:00:00+09:00,2.0,5.0
2026-08-03 14:00:00+09:00,14,4,032940,원익,rebound,67.82132704252267,2026-08-03 12:00:00+09:00,60,19.3395002511132,True,TARGET,False,True,True,-0.34965034965035446,5.0,5.0,True,5720.0,6006.0,2026-08-05 09:00:00+09:00,3.0,5.0
2026-08-03 14:00:00+09:00,14,5,347850,디앤디파마텍,rebound,67.59227516739588,2026-08-03 12:00:00+09:00,60,1.2686658337749328,True,TARGET,False,True,True,-0.17605633802817433,5.0,5.0,True,56800.0,59640.0,2026-08-04 09:00:00+09:00,2.0,5.0
2026-08-04 09:00:00+09:00,9,1,282880,코윈로보틱스,rebound,73.77565965314527,2026-08-03 14:00:00+09:00,60,8.931504104017982,True,TARGET,False,True,True,3.53591160220994,5.0,5.0,True,9050.0,9502.5,2026-08-05 09:00:00+09:00,2.0,5.0
2026-08-04 09:00:00+09:00,9,2,0039P0,매드업,rebound,71.62161365610277,2026-08-03 14:00:00+09:00,60,1.867613508368232,True,TARGET,True,True,True,5.0,5.0,5.0,True,7700.0,8085.0,2026-08-04 09:00:00+09:00,1.0,5.0
2026-08-04 09:00:00+09:00,9,3,004310,현대약품,rebound,58.58665584149484,2026-08-03 14:00:00+09:00,60,1.469573670476696,False,TARGET,False,True,True,3.518518518518521,5.0,5.0,True,5400.0,5670.0,2026-08-05 09:00:00+09:00,2.0,5.0
