,Open,High,Low,Close,Volume
2026-06-29 09:00:00+09:00,46550.0,46750.0,45700.0,46250.0,9150.0
2026-06-29 09:30:00+09:00,46250.0,46800.0,46100.0,46650.0,6153.0
2026-06-29 10:00:00+09:00,46650.0,46700.0,46300.0,46500.0,6620.0
2026-06-29 10:30:00+09:00,46500.0,46500.0,46100.0,46200.0,5051.0
2026-06-29 11:00:00+09:00,46150.0,46300.0,46000.0,46200.0,3467.0
2026-06-29 11:30:00+09:00,46200.0,46350.0,45900.0,46000.0,3570.0
2026-06-29 12:00:00+09:00,46000.0,46300.0,45950.0,46050.0,3506.0
2026-06-29 12:30:00+09:00,46050.0,46500.0,46050.0,46400.0,5676.0
2026-06-29 13:00:00+09:00,46400.0,46600.0,46350.0,46500.0,3710.0
2026-06-29 13:30:00+09:00,46550.0,46550.0,46200.0,46450.0,4017.0
2026-06-29 14:00:00+09:00,46450.0,46650.0,46400.0,46500.0,5895.0
2026-06-29 14:30:00+09:00,46550.0,47000.0,46500.0,46900.0,9906.0
2026-06-30 09:00:00+09:00,46900.0,47450.0,46700.0,47100.0,6891.0
2026-06-30 09:30:00+09:00,47150.0,47800.0,47100.0,47700.0,6274.0
2026-06-30 10:00:00+09:00,47700.0,48350.0,47650.0,48200.0,9591.0
2026-06-30 10:30:00+09:00,48250.0,48700.0,48100.0,48300.0,7001.0
2026-06-30 11:00:00+09:00,48300.0,48400.0,48000.0,48250.0,7949.0
2026-06-30 11:30:00+09:00,48250.0,48450.0,48050.0,48350.0,4761.0
2026-06-30 12:00:00+09:00,48350.0,48450.0,48300.0,48300.0,3509.0
2026-06-30 12:30:00+09:00,48350.0,48400.0,48050.0,48100.0,2610.0
2026-06-30 13:00:00+09:00,48050.0,48350.0,48000.0,48250.0,3998.0
2026-06-30 13:30:00+09:00,48200.0,48500.0,48200.0,48500.0,7920.0
2026-06-30 14:00:00+09:00,48450.0,48500.0,48050.0,48150.0,4329.0
2026-06-30 14:30:00+09:00,48150.0,48150.0,47800.0,48000.0,4581.0
2026-07-01 09:00:00+09:00,48900.0,49150.0,47950.0,48000.0,7178.0
2026-07-01 09:30:00+09:00,48000.0,48150.0,47700.0,47700.0,5984.0
2026-07-01 10:00:00+09:00,47750.0,47750.0,47350.0,47550.0,6508.0
2026-07-01 10:30:00+09:00,47600.0,47600.0,47000.0,47000.0,3815.0
2026-07-01 11:00:00+09:00,47050.0,47050.0,46550.0,46650.0,6212.0
2026-07-01 11:30:00+09:00,46650.0,47300.0,46400.0,47150.0,5460.0
2026-07-01 12:00:00+09:00,47100.0,47200.0,46900.0,47150.0,3120.0
2026-07-01 12:30:00+09:00,47150.0,47500.0,46950.0,47350.0,4343.0
2026-07-01 13:00:00+09:00,47400.0,47400.0,46750.0,46900.0,3270.0
