,Open,High,Low,Close,Volume
2026-06-29 09:00:00+09:00,17040.0,17800.0,17040.0,17610.0,0.0
2026-06-29 09:05:00+09:00,17610.0,17870.0,17520.0,17840.0,12959.0
2026-06-29 09:10:00+09:00,17840.0,17950.0,17700.0,17880.0,10601.0
2026-06-29 09:15:00+09:00,17870.0,17910.0,17790.0,17840.0,12274.0
2026-06-29 09:20:00+09:00,17820.0,17990.0,17660.0,17990.0,22128.0
2026-06-29 09:25:00+09:00,17990.0,18390.0,17840.0,18240.0,32839.0
2026-06-29 09:30:00+09:00,18240.0,18460.0,18050.0,18430.0,16916.0
2026-06-29 09:35:00+09:00,18430.0,18550.0,18430.0,18480.0,23583.0
2026-06-29 09:40:00+09:00,18480.0,18510.0,18250.0,18400.0,13609.0
2026-06-29 09:45:00+09:00,18410.0,18530.0,18370.0,18510.0,15157.0
2026-06-29 09:50:00+09:00,18510.0,18540.0,18400.0,18420.0,7933.0
2026-06-29 09:55:00+09:00,18420.0,18430.0,18320.0,18370.0,9607.0
2026-06-29 10:00:00+09:00,18370.0,18370.0,18250.0,18280.0,8685.0
2026-06-29 10:05:00+09:00,18280.0,18340.0,18180.0,18240.0,5452.0
2026-06-29 10:10:00+09:00,18210.0,18310.0,18210.0,18280.0,4871.0
2026-06-29 10:15:00+09:00,18290.0,18310.0,18230.0,18250.0,5190.0
2026-06-29 10:20:00+09:00,18250.0,18380.0,18210.0,18380.0,6302.0
2026-06-29 10:25:00+09:00,18390.0,18390.0,18350.0,18350.0,2203.0
2026-06-29 10:30:00+09:00,18350.0,18440.0,18350.0,18390.0,5950.0
2026-06-29 10:35:00+09:00,18390.0,18530.0,18350.0,18470.0,8834.0
2026-06-29 10:40:00+09:00,18480.0,18480.0,18230.0,18280.0,11948.0
2026-06-29 10:45:00+09:00,18290.0,18320.0,18270.0,18290.0,4845.0
2026-06-29 10:50:00+09:00,18300.0,18300.0,18230.0,18240.0,4021.0
2026-06-29 10:55:00+09:00,18250.0,18280.0,18210.0,18280.0,7367.0
2026-06-29 11:00:00+09:00,18270.0,18500.0,18260.0,18490.0,8233.0
2026-06-29 11:05:00+09:00,18490.0,18520.0,18420.0,18450.0,6335.0
2026-06-29 11:10:00+09:00,18460.0,18550.0,18430.0,18450.0,11761.0
2026-06-29 11:15:00+09:00,18490.0,18560.0,18470.0,18560.0,6228.0
2026-06-29 11:20:00+09:00,18550.0,18580.0,18540.0,18575.0,7684.0
2026-06-29 11:25:00+09:00,18575.0,18600.0,18560.0,18570.0,5869.0
2026-06-29 11:30:00+09:00,18570.0,18590.0,18550.0,18580.0,7047.0
2026-06-29 11:35:00+09:00,18580.0,18590.0,18510.0,18510.0,3617.0
2026-06-29 11:40:00+09:00,18520.0,18570.0,18520.0,18540.0,3221.0
2026-06-29 11:45:00+09:00,18540.0,18600.0,18520.0,18580.0,3885.0
2026-06-29 11:50:00+09:00,18580.0,18590.0,18530.0,18560.0,2437.0
2026-06-29 11:55:00+09:00,18560.0,18580.0,18520.0,18550.0,2208.0
2026-06-29 12:00:00+09:00,18540.0,18570.0,18520.0,18570.0,2775.0
2026-06-29 12:05:00+09:00,18570.0,18580.0,18500.0,18530.0,3430.0
2026-06-29 12:10:00+09:00,18540.0,18560.0,18530.0,18550.0,2238.0
2026-06-29 12:15:00+09:00,18550.0,18570.0,18510.0,18540.0,3852.0
2026-06-29 12:20:00+09:00,18520.0,18570.0,18520.0,18550.0,3043.0
2026-06-29 12:25:00+09:00,18530.0,18640.0,18510.0,18630.0,6838.0
2026-06-29 12:30:00+09:00,18620.0,18690.0,18610.0,18650.0,7351.0
2026-06-29 12:35:00+09:00,18650.0,18660.0,18580.0,18600.0,3177.0
2026-06-29 12:40:00+09:00,18595.0,18670.0,18580.0,18650.0,6840.0
2026-06-29 12:45:00+09:00,18650.0,18670.0,18590.0,18670.0,6119.0
