,Open,High,Low,Close,Volume
2026-06-29 09:00:00+09:00,19640.0,21300.0,19640.0,20550.0,13427.0
2026-06-29 09:30:00+09:00,20550.0,21200.0,20200.0,20850.0,9760.0
2026-06-29 10:00:00+09:00,20800.0,21550.0,20750.0,21400.0,7052.0
2026-06-29 10:30:00+09:00,21400.0,21500.0,21050.0,21200.0,5275.0
2026-06-29 11:00:00+09:00,21150.0,21300.0,20700.0,21100.0,5996.0
2026-06-29 11:30:00+09:00,21100.0,21250.0,20850.0,21200.0,2311.0
2026-06-29 12:00:00+09:00,21150.0,21350.0,21100.0,21350.0,2080.0
2026-06-29 12:30:00+09:00,21350.0,21500.0,21050.0,21500.0,3603.0
2026-06-29 13:00:00+09:00,21500.0,21550.0,21400.0,21450.0,3175.0
2026-06-29 13:30:00+09:00,21450.0,21550.0,21350.0,21450.0,2444.0
2026-06-29 14:00:00+09:00,21450.0,22000.0,21450.0,21950.0,4550.0
2026-06-29 14:30:00+09:00,21950.0,22150.0,21450.0,22150.0,12602.0
2026-06-30 09:00:00+09:00,22100.0,22150.0,20950.0,21400.0,23251.0
2026-06-30 09:30:00+09:00,21400.0,21400.0,20850.0,21200.0,5551.0
2026-06-30 10:00:00+09:00,21050.0,21100.0,20750.0,21100.0,4760.0
2026-06-30 10:30:00+09:00,21100.0,21200.0,20750.0,21100.0,2243.0
2026-06-30 11:00:00+09:00,21100.0,21100.0,20700.0,20800.0,3389.0
2026-06-30 11:30:00+09:00,20800.0,21000.0,20700.0,20850.0,2907.0
2026-06-30 12:00:00+09:00,20850.0,21150.0,20850.0,21050.0,2446.0
2026-06-30 12:30:00+09:00,21050.0,21150.0,20900.0,20950.0,1844.0
2026-06-30 13:00:00+09:00,20950.0,21050.0,20800.0,20900.0,2870.0
2026-06-30 13:30:00+09:00,20900.0,21150.0,20850.0,20950.0,2867.0
2026-06-30 14:00:00+09:00,20950.0,21150.0,20850.0,20900.0,3368.0
2026-06-30 14:30:00+09:00,20900.0,21000.0,20850.0,21000.0,2083.0
2026-07-01 09:00:00+09:00,21400.0,21450.0,20250.0,21150.0,9478.0
2026-07-01 09:30:00+09:00,21200.0,21550.0,21050.0,21300.0,7377.0
2026-07-01 10:00:00+09:00,21350.0,21450.0,20850.0,21100.0,3862.0
2026-07-01 10:30:00+09:00,21050.0,21250.0,20750.0,20950.0,1951.0
2026-07-01 11:00:00+09:00,20900.0,21100.0,20500.0,20800.0,6568.0
2026-07-01 11:30:00+09:00,20800.0,20850.0,20600.0,20700.0,2752.0
2026-07-01 12:00:00+09:00,20700.0,20950.0,20700.0,20900.0,1686.0
2026-07-01 12:30:00+09:00,20950.0,21050.0,20800.0,20950.0,2073.0
2026-07-01 13:00:00+09:00,20950.0,20950.0,20600.0,20650.0,3790.0
2026-07-01 13:30:00+09:00,20650.0,20750.0,20500.0,20500.0,2335.0
2026-07-01 14:00:00+09:00,20550.0,20700.0,20450.0,20500.0,2143.0
2026-07-01 14:30:00+09:00,20450.0,20600.0,20350.0,20500.0,2892.0
2026-07-02 09:00:00+09:00,20500.0,20500.0,19310.0,19550.0,13385.0
2026-07-02 09:30:00+09:00,19640.0,20000.0,19420.0,19640.0,5138.0
2026-07-02 10:00:00+09:00,19630.0,19810.0,19500.0,19680.0,6727.0
