종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
피에스케이,319660,돌파·대금 충족 (다음 봉 확인 대기),75.4,129700.0,133300.0,164.8,2.47,09-21 09:00,09-21 09:00,KOSDAQ,2026-09-21 09:00,139700.0,10.09,139900,504억,2026-09-21T10:51:20+09:00
메지온,140410,돌파·대금 충족 (다음 봉 확인 대기),77.5,76000.0,78700.0,45.0,4.47,09-21 09:00,09-21 09:00,KOSDAQ,2026-09-21 09:00,78200.0,4.13,79400,64.6억,2026-09-21T10:51:21+09:00
테크윙,089030,돌파·대금 충족 (다음 봉 확인 대기),70.4,47500.0,47600.0,167.3,3.13,09-21 09:00,09-21 09:00,KOSDAQ,2026-09-21 09:00,48650.0,7.28,48750,270억,2026-09-21T10:51:21+09:00
네패스,033640,돌파·대금 충족 (다음 봉 확인 대기),61.8,27000.0,27250.0,23.8,4.02,09-21 09:00,09-21 09:00,KOSDAQ,2026-09-21 09:00,27600.0,3.37,28000,84.3억,2026-09-21T10:51:17+09:00
