종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,75.96606315507758,4.01,261500.0,259750.0,4680.9,0.7,09-21 09:00,09-18 14:00,2026-09-21 09:00,True,False,False,16064.9924175,2.0272799292048527,262000.0,269250.0,2026-09-21T09:00:00+09:00
SK하이닉스,000660,KOSPI,제외,61.7468530933739,4.14,1852000.0,1835000.0,7420.6,1.06,09-21 09:00,09-18 14:00,2026-09-21 09:00,True,False,False,12319.56957,0.9825852430655073,1852000.0,1869000.0,2026-09-21T09:00:00+09:00
SK스퀘어,402340,KOSPI,제외,68.2919030146336,4.39,1078000.0,1074000.0,906.0,1.18,09-21 09:00,09-18 14:00,2026-09-21 09:00,True,False,False,1131.6861,1.056963884897414,1083000.0,1107000.0,2026-09-21T09:00:00+09:00
삼성전기,009150,KOSPI,제외,76.26452773476379,2.22,1409000.0,1391000.0,1605.9,1.69,09-21 09:00,09-18 14:00,2026-09-21 09:00,True,False,False,2317.3068,1.1111455923952274,1409000.0,1410000.0,2026-09-21T09:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,68.89648756121757,-2.1,371500.0,365000.0,115.9,0.49,09-21 09:00,09-18 14:00,2026-09-21 09:00,False,False,False,306.10272,1.6950264235714338,371500.0,353500.0,2026-09-21T09:00:00+09:00
현대차,005380,KOSPI,제외,72.8100500361053,-1.36,372000.0,366250.0,228.2,0.9,09-21 09:00,09-18 14:00,2026-09-21 09:00,False,False,False,399.170825,1.0787151334047183,372000.0,359500.0,2026-09-21T09:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,56.595957362176954,-0.49,1414000.0,1397000.0,74.1,0.84,09-21 09:00,09-18 14:00,2026-09-21 09:00,False,False,False,40.72255,0.4823234548494397,1414000.0,1397000.0,2026-09-21T09:00:00+09:00
KB금융,105560,KOSPI,제외,57.886781317969294,-0.34,181600.0,175800.0,221.6,1.08,09-21 09:00,09-18 14:00,2026-09-21 09:00,False,False,False,278.136402,0.8109360151049122,181600.0,176700.0,2026-09-21T09:00:00+09:00
삼성물산,028260,KOSPI,제외,63.00383568658251,0.89,365000.0,351500.0,129.8,0.54,09-21 09:00,09-18 14:00,2026-09-21 09:00,True,False,False,159.19551,0.6517999274811186,365000.0,358500.0,2026-09-21T09:00:00+09:00
삼성생명,032830,KOSPI,제외,69.6579222014754,0.78,291000.0,283500.0,95.0,0.69,09-21 09:00,09-18 14:00,2026-09-21 09:00,True,False,False,215.35702,1.1820970310571255,291000.0,289000.0,2026-09-21T09:00:00+09:00
