종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
삼성물산,028260,돌파·대금 충족 (다음 봉 확인 대기),70.0,363000.0,367000.0,262.8,2.24,09-21 10:00,09-21 10:00,KOSPI,2026-09-21 10:00,367500.0,4.7,369000,683억,2026-09-21T11:16:19+09:00
동진쎄미켐,005290,돌파·대금 충족 (다음 봉 확인 대기),81.7,41900.0,42450.0,38.3,3.0,09-21 10:00,09-21 10:00,KOSDAQ,2026-09-21 10:00,42250.0,2.55,42750,131억,2026-09-21T11:17:20+09:00
