종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,39.66976926750364,3.73,283500.0,280750.0,5167.9,1.41,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,5909.6289,1.3664116951505882,283500.0,277500.0,2026-09-22T13:00:00+09:00
SK하이닉스,000660,KOSPI,제외,52.95976193706059,1.69,1935000.0,1898000.0,4444.9,0.94,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,8486.09984,1.5153022585673352,1935000.0,1868000.0,2026-09-22T13:00:00+09:00
SK스퀘어,402340,KOSPI,제외,37.06598425205097,4.16,1189000.0,1157000.0,531.5,1.21,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,968.86656,1.8474314996416892,1189000.0,1152000.0,2026-09-22T13:00:00+09:00
삼성전기,009150,KOSPI,제외,45.124214512650106,2.87,1548000.0,1509000.0,803.9,1.62,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,1561.90703,1.8936491235759316,1548000.0,1481000.0,2026-09-22T13:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,39.93693495232962,-2.98,359500.0,351500.0,38.8,0.54,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,249.16356,2.416732949829405,359500.0,348500.0,2026-09-22T13:00:00+09:00
현대차,005380,KOSPI,제외,60.74254503536448,-0.48,370000.0,363500.0,106.7,0.74,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,169.05269,0.9014760001498436,370000.0,361000.0,2026-09-22T13:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,62.34858763215918,-0.64,1408000.0,1396000.0,33.8,0.84,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,71.48349,1.0597085795439385,1408000.0,1391000.0,2026-09-22T13:00:00+09:00
KB금융,105560,KOSPI,제외,53.60647812214336,-1.07,178900.0,175500.0,99.7,0.7,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,123.065865,0.7504490405722957,178500.0,175500.0,2026-09-22T13:00:00+09:00
삼성물산,028260,KOSPI,제외,60.68794980560951,0.86,385500.0,364000.0,86.2,0.96,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,126.71932,1.0158441412400894,385500.0,364000.0,2026-09-22T13:00:00+09:00
삼성생명,032830,KOSPI,제외,55.37232455159926,0.35,304000.0,291500.0,47.1,0.64,09-22 13:00,09-22 12:00,2026-09-22 13:00,False,False,False,70.05934,0.7315419401664894,304000.0,288500.0,2026-09-22T13:00:00+09:00
