순위,종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time,스마트점수,돌파이격,건전도,VR,현재가,당일등락률,당일고가,당일누적대금,시세시각
🥇 1위,미코,059090,KOSDAQ,일치,73.2,3.83,20250.0,21250.0,55.8,6.96,09-22 10:00,09-22 09:00,2026-09-22 10:00,True,True,False,125.5789395,28.17695639294217,21500.0,22050.0,2026-09-22T10:00:00+09:00,99.3,4.94,보통⚪,11.31,21950.0,9.86,22650,370억,2026-09-22T11:52:19+09:00
🥈 2위,일진전기,103590,KOSPI,일치,63.6,3.41,76700.0,77500.0,194.2,4.46,09-22 10:00,09-22 09:00,2026-09-22 10:00,True,True,False,80.600762,4.084157371432791,78500.0,78100.0,2026-09-22T10:00:00+09:00,85.4,1.04,보통⚪,2.33,77700.0,6.44,78500,646억,2026-09-22T11:52:12+09:00
