종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,35.64902592308167,5.17,283500.0,280750.0,4351.9,1.24,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,4190.3353125,1.1445643601678974,283500.0,281250.0,2026-09-22T12:00:00+09:00
SK하이닉스,000660,KOSPI,제외,37.52811827879661,3.65,1935000.0,1920000.0,4634.5,0.92,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,3389.68758,0.7136381042584942,1935000.0,1906000.0,2026-09-22T12:00:00+09:00
SK스퀘어,402340,KOSPI,제외,31.363679222798623,4.79,1189000.0,1164000.0,457.2,1.12,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,461.43984,1.0481888070733143,1189000.0,1158000.0,2026-09-22T12:00:00+09:00
삼성전기,009150,KOSPI,제외,34.19916188497323,4.58,1548000.0,1519000.0,747.2,1.26,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,587.76508,1.187588854093243,1548000.0,1514000.0,2026-09-22T12:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,33.6972032286631,-2.29,359500.0,351750.0,53.1,0.54,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,35.54144,0.4961191832679208,359500.0,352000.0,2026-09-22T12:00:00+09:00
현대차,005380,KOSPI,제외,62.89342711658882,0.3,369000.0,365500.0,318.0,2.34,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,83.45428,0.5823581907104327,370000.0,364000.0,2026-09-22T12:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,61.644992465188466,-0.05,1410000.0,1397000.0,32.0,0.63,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,29.63037,0.7383564535111613,1408000.0,1397000.0,2026-09-22T12:00:00+09:00
KB금융,105560,KOSPI,제외,54.225148612427255,-0.99,178900.0,175900.0,96.5,0.7,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,79.235988,0.5597158288202164,178900.0,175600.0,2026-09-22T12:00:00+09:00
삼성물산,028260,KOSPI,제외,62.31832959335933,0.99,385500.0,362000.0,107.8,1.21,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,75.323925,0.8380045638941708,385500.0,364500.0,2026-09-22T12:00:00+09:00
삼성생명,032830,KOSPI,제외,55.70668433322096,0.95,304000.0,290500.0,47.6,0.66,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,38.94162,0.5326015996325831,304000.0,291000.0,2026-09-22T12:00:00+09:00
두산에너빌리티,034020,KOSPI,제외,67.23250905936433,1.25,87000.0,85900.0,337.2,1.74,09-22 12:00,09-22 11:00,2026-09-22 12:00,False,False,False,158.696547,0.8330643964994692,87000.0,86700.0,2026-09-22T12:00:00+09:00
