Code,Name,Market,Close,Marcap,Amount
004170,신세계,KOSPI,372000,3513600000000.0,1395.0
064290,인텍플러스,KOSDAQ,45900,594800000000.0,1389.0
282880,코윈로보틱스,KOSDAQ,10380,121400000000.0,1352.0
319400,현대무벡스,KOSDAQ,21250,2366700000000.0,1350.0
141080,리가켐바이오,KOSDAQ,85400,3161500000000.0,1338.0
232140,와이씨,KOSDAQ,11560,948400000000.0,1311.0
170920,엘티씨,KOSDAQ,33950,358700000000.0,1300.0
000250,삼천당제약,KOSDAQ,157800,3701600000000.0,1289.0
054920,한컴위드,KOSDAQ,4115,116100000000.0,1262.0
204320,HL만도,KOSPI,48750,2289200000000.0,1234.0
298380,에이비엘바이오,KOSDAQ,65500,3667200000000.0,1233.0
090360,로보스타,KOSDAQ,77600,756600000000.0,1231.0
073240,금호타이어,KOSPI,7110,2042400000000.0,1190.0
007390,네이처셀,KOSDAQ,24700,1591500000000.0,1162.0
010580,에스엠벡셀,KOSPI,2430,270300000000.0,1152.0
477850,마키나락스,KOSDAQ,21800,387100000000.0,1141.0
0007C0,아크릴,KOSDAQ,17640,141700000000.0,1136.0
071970,HD현대마린엔진,KOSPI,50500,1713000000000.0,1131.0
