,Open,High,Low,Close,Volume
2026-06-22 09:00:00+09:00,13515.0,13680.0,13405.0,13465.0,0
2026-06-22 10:00:00+09:00,13485.0,13485.0,13235.0,13335.0,36763
2026-06-22 11:00:00+09:00,13330.0,13355.0,13255.0,13310.0,28327
2026-06-22 12:00:00+09:00,13285.0,13300.0,13230.0,13235.0,34756
2026-06-22 13:00:00+09:00,13235.0,13285.0,13220.0,13270.0,33885
2026-06-22 14:00:00+09:00,13270.0,13400.0,13260.0,13330.0,26935
2026-06-23 09:00:00+09:00,13350.0,13530.0,13060.0,13320.0,204334
2026-06-23 10:00:00+09:00,13320.0,13910.0,13320.0,13580.0,145638
2026-06-23 11:00:00+09:00,13580.0,13585.0,13435.0,13465.0,84241
2026-06-23 12:00:00+09:00,13455.0,13455.0,13205.0,13400.0,25171
2026-06-23 13:00:00+09:00,13400.0,13405.0,13200.0,13200.0,60211
2026-06-23 14:00:00+09:00,13200.0,13250.0,13120.0,13125.0,19861
2026-06-24 09:00:00+09:00,13050.0,13200.0,12805.0,13155.0,121094
2026-06-24 10:00:00+09:00,13140.0,13475.0,13030.0,13465.0,19417
2026-06-24 11:00:00+09:00,13465.0,13495.0,13185.0,13210.0,21649
2026-06-24 12:00:00+09:00,13150.0,13365.0,13120.0,13320.0,17408
2026-06-24 13:00:00+09:00,13330.0,13330.0,13225.0,13300.0,14214
2026-06-24 14:00:00+09:00,13280.0,13435.0,13275.0,13325.0,9966
2026-06-25 09:00:00+09:00,13335.0,13595.0,13330.0,13415.0,179274
2026-06-25 10:00:00+09:00,13415.0,13540.0,13385.0,13385.0,96724
2026-06-25 11:00:00+09:00,13380.0,13445.0,13335.0,13390.0,15913
2026-06-25 12:00:00+09:00,13375.0,13470.0,13375.0,13437.0,9211
2026-06-25 13:00:00+09:00,13425.0,13450.0,13340.0,13390.0,8920
2026-06-25 14:00:00+09:00,13390.0,13400.0,13280.0,13280.0,12499
2026-06-26 09:00:00+09:00,13170.0,13265.0,12800.0,13035.0,68073
2026-06-26 10:00:00+09:00,13025.0,13135.0,12965.0,13035.0,27360
2026-06-26 11:00:00+09:00,13055.0,13150.0,12825.0,12825.0,142707
2026-06-26 12:00:00+09:00,12830.0,12875.0,12740.0,12875.0,46203
2026-06-26 13:00:00+09:00,12900.0,13015.0,12875.0,12940.0,42338
2026-06-26 14:00:00+09:00,12945.0,13045.0,12915.0,12955.0,29599
2026-06-29 09:00:00+09:00,13175.0,14020.0,13175.0,13910.0,0
2026-06-29 10:00:00+09:00,13910.0,13995.0,13805.0,13910.0,30297
2026-06-29 11:00:00+09:00,13905.0,13920.0,13830.0,13845.0,27565
2026-06-29 12:00:00+09:00,13870.0,13920.0,13800.0,13865.0,18012
2026-06-29 13:00:00+09:00,13865.0,13965.0,13810.0,13875.0,34330
2026-06-29 14:00:00+09:00,13875.0,14055.0,13835.0,14055.0,21986
2026-06-30 09:00:00+09:00,13945.0,14210.0,13860.0,14150.0,100841
2026-06-30 10:00:00+09:00,14150.0,14150.0,13850.0,13955.0,21786
2026-06-30 11:00:00+09:00,13955.0,13955.0,13810.0,13810.0,17196
2026-06-30 12:00:00+09:00,13805.0,13945.0,13795.0,13920.0,11396
2026-06-30 13:00:00+09:00,13920.0,13940.0,13820.0,13875.0,40773
2026-06-30 14:00:00+09:00,13855.0,13855.0,13780.0,13805.0,34913
2026-07-01 09:00:00+09:00,13885.0,14485.0,13715.0,14405.0,86066
2026-07-01 10:00:00+09:00,14405.0,14500.0,14250.0,14500.0,119723
2026-07-01 11:00:00+09:00,14505.0,14560.0,14345.0,14545.0,54132
2026-07-01 12:00:00+09:00,14530.0,14655.0,14520.0,14615.0,37668
2026-07-01 13:00:00+09:00,14615.0,14750.0,14555.0,14670.0,62170
2026-07-01 14:00:00+09:00,14670.0,14835.0,14620.0,14835.0,88858
2026-07-02 09:00:00+09:00,14910.0,15510.0,14875.0,15345.0,951234
2026-07-02 10:00:00+09:00,15370.0,15795.0,15360.0,15725.0,673727
2026-07-02 11:00:00+09:00,15725.0,15775.0,15495.0,15565.0,200220
2026-07-02 12:00:00+09:00,15565.0,15585.0,15390.0,15400.0,202152
2026-07-02 13:00:00+09:00,15415.0,15450.0,14985.0,15070.0,377220
2026-07-02 14:00:00+09:00,15090.0,15095.0,14885.0,14960.0,96931
2026-07-03 09:00:00+09:00,15000.0,15080.0,14485.0,14635.0,350844
2026-07-03 10:00:00+09:00,14640.0,15230.0,14630.0,14810.0,159973
2026-07-03 11:00:00+09:00,14820.0,14870.0,14705.0,14840.0,80637
