종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
한화비전,489790,돌파·대금 충족 (다음 봉 확인 대기),69.9,47500.0,47850.0,43.8,4.66,09-18 14:00,09-18 14:00,KOSPI,2026-09-18 14:00,47700.0,6.24,48300,240억,2026-09-18T16:03:20+09:00
메지온,140410,돌파·대금 충족 (다음 봉 확인 대기),76.5,75100.0,75900.0,29.7,4.65,09-18 14:00,09-18 14:00,KOSDAQ,2026-09-18 14:00,75100.0,1.35,76100,110억,2026-09-18T16:03:19+09:00
