종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
한화비전,489790,돌파·대금 충족 (다음 봉 확인 대기),69.4,47500.0,48100.0,38.3,4.08,09-18 14:00,09-18 14:00,KOSPI,2026-09-18 14:00,47750.0,6.35,48300,217억,2026-09-18T15:11:19+09:00
메지온,140410,돌파·대금 충족 (다음 봉 확인 대기),68.6,75100.0,75400.0,20.0,3.13,09-18 14:00,09-18 14:00,KOSDAQ,2026-09-18 14:00,75700.0,2.16,76100,93.8억,2026-09-18T15:11:19+09:00
