종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,54.6669309885594,2.03,261500.0,260750.0,4130.2,0.93,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,4680.9028,0.6995396997268807,261500.0,259750.0,2026-09-18T14:00:00+09:00
SK하이닉스,000660,KOSPI,제외,42.053601374204774,3.52,1847000.0,1850000.0,6984.9,1.21,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,7420.5565,1.0573162131396698,1852000.0,1835000.0,2026-09-18T14:00:00+09:00
SK스퀘어,402340,KOSPI,제외,58.165159255709284,3.15,1075000.0,1074000.0,568.6,1.09,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,905.96196,1.1766249356384462,1078000.0,1074000.0,2026-09-18T14:00:00+09:00
삼성전기,009150,KOSPI,제외,65.62907350075905,1.6,1409000.0,1401000.0,2267.1,3.05,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,1605.92341,1.69455839688481,1409000.0,1391000.0,2026-09-18T14:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,60.0883719107404,0.32,371500.0,363000.0,41.5,0.37,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,115.9094,0.4914107341749773,371500.0,365000.0,2026-09-18T14:00:00+09:00
현대차,005380,KOSPI,제외,71.74192638752558,0.29,372000.0,366500.0,129.9,0.72,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,228.1920625,0.898432590063175,372000.0,366250.0,2026-09-18T14:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,54.41600198792636,-0.66,1414000.0,1397000.0,51.4,0.77,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,74.11085,0.8408371696821942,1414000.0,1397000.0,2026-09-18T14:00:00+09:00
KB금융,105560,KOSPI,제외,57.2368256725667,-0.86,181600.0,176200.0,131.1,0.73,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,221.562498,1.0780384059940673,181600.0,175800.0,2026-09-18T14:00:00+09:00
삼성물산,028260,KOSPI,제외,59.100612212124624,-0.36,365000.0,353500.0,92.0,0.62,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,129.791375,0.535325140533992,365000.0,351500.0,2026-09-18T14:00:00+09:00
삼성생명,032830,KOSPI,제외,62.64057069053704,-0.68,291000.0,286000.0,71.1,0.69,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,94.992345,0.687926740181666,291000.0,283500.0,2026-09-18T14:00:00+09:00
