종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,55.18674546032594,2.38,261500.0,260750.0,4130.2,0.93,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,4128.428675,0.6169749467246669,261500.0,260750.0,2026-09-18T14:00:00+09:00
SK하이닉스,000660,KOSPI,제외,42.40721829055304,4.03,1847000.0,1850000.0,6984.9,1.21,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,6188.66505,0.8817904553460142,1852000.0,1845000.0,2026-09-18T14:00:00+09:00
SK스퀘어,402340,KOSPI,제외,54.79848012612587,3.62,1075000.0,1074000.0,568.6,1.09,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,713.00554,0.9260213283263632,1078000.0,1082000.0,2026-09-18T14:00:00+09:00
삼성전기,009150,KOSPI,제외,62.76756242376636,1.97,1409000.0,1401000.0,2267.1,3.05,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,1353.64442,1.4283554894484465,1409000.0,1399000.0,2026-09-18T14:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,60.003160825529065,0.19,371500.0,363000.0,41.5,0.37,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,94.90851,0.40237513591264534,371500.0,364500.0,2026-09-18T14:00:00+09:00
현대차,005380,KOSPI,제외,71.03005448457974,0.35,372000.0,366500.0,129.9,0.72,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,186.002415,0.7323244710427014,372000.0,366500.0,2026-09-18T14:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,53.01710647904845,-0.85,1414000.0,1397000.0,51.4,0.77,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,58.91085,0.6683830016464835,1414000.0,1395000.0,2026-09-18T14:00:00+09:00
KB금융,105560,KOSPI,제외,56.844925146312335,-0.84,181600.0,176200.0,131.1,0.73,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,192.6595015,0.9374074754143258,181600.0,175850.0,2026-09-18T14:00:00+09:00
삼성물산,028260,KOSPI,제외,58.04418174928848,-0.17,365000.0,353500.0,92.0,0.62,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,99.359175,0.4098073875880929,365000.0,352500.0,2026-09-18T14:00:00+09:00
삼성생명,032830,KOSPI,제외,62.085193585398734,-0.56,291000.0,286000.0,71.1,0.69,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,80.0028,0.5793736896315781,291000.0,284000.0,2026-09-18T14:00:00+09:00
한화에어로스페이스,012450,KOSPI,제외,58.104797963862836,0.96,1130000.0,1100000.0,67.7,0.5,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,86.73842,0.46513836026893146,1130000.0,1102000.0,2026-09-18T14:00:00+09:00
두산에너빌리티,034020,KOSPI,제외,65.85501159153141,-0.04,87800.0,85400.0,108.4,0.51,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,150.126368,0.457058646819886,87800.0,85400.0,2026-09-18T14:00:00+09:00
신한지주,055550,KOSPI,제외,60.17617395841675,-1.04,114400.0,111400.0,83.0,0.7,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,132.215148,0.9017531756285434,114400.0,111150.0,2026-09-18T14:00:00+09:00
HD현대중공업,329180,KOSPI,제외,57.965369119564016,-0.11,477500.0,456750.0,111.6,0.79,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,111.511785,0.6280264525508646,473000.0,458500.0,2026-09-18T14:00:00+09:00
기아,000270,KOSPI,제외,63.303527289541684,0.12,122500.0,121700.0,51.4,0.68,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,75.232506,0.542809901796997,122500.0,121700.0,2026-09-18T14:00:00+09:00
삼성SDI,006400,KOSPI,제외,55.00337465615498,0.11,552000.0,542000.0,144.3,0.7,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,215.26624,0.6508990740181357,552000.0,544000.0,2026-09-18T14:00:00+09:00
셀트리온,068270,KOSPI,제외,59.40136131484976,0.38,182800.0,179700.0,67.7,0.89,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,64.711818,0.6835601633532967,182800.0,179800.0,2026-09-18T14:00:00+09:00
SK,034730,KOSPI,제외,72.74256620198658,0.19,557000.0,546000.0,175.2,2.34,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,140.56561,1.3395155123065934,557000.0,551000.0,2026-09-18T14:00:00+09:00
하나금융지주,086790,KOSPI,제외,52.99858961250301,-2.32,140200.0,133950.0,96.3,1.07,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,150.592592,1.3881381566464779,140200.0,133400.0,2026-09-18T14:00:00+09:00
