종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
LIG디펜스앤에어로스페이스,079550,돌파·대금 충족 (다음 봉 확인 대기),61.6,738000.0,752000.0,151.9,2.33,09-18 13:00,09-18 13:00,KOSPI,2026-09-18 13:00,752000.0,6.21,754000,836억,2026-09-18T14:12:59+09:00
제이앤티씨,204270,돌파·대금 충족 (다음 봉 확인 대기),69.9,23250.0,23450.0,79.2,5.97,09-18 13:00,09-18 13:00,KOSDAQ,2026-09-18 13:00,23250.0,3.79,23750,208억,2026-09-18T14:12:22+09:00
