종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
한화비전,489790,돌파·대금 충족 (다음 봉 확인 대기),68.0,47500.0,48150.0,33.5,3.56,09-18 14:00,09-18 14:00,KOSPI,2026-09-18 14:00,47950.0,6.79,48300,212억,2026-09-18T15:05:20+09:00
에스티팜,237690,돌파·대금 충족 (다음 봉 확인 대기),75.1,93300.0,93600.0,49.7,3.77,09-18 14:00,09-18 14:00,KOSDAQ,2026-09-18 14:00,93000.0,1.2,97900,166억,2026-09-18T15:05:20+09:00
