종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
대한광통신,010170,KOSDAQ,제외,66.60233852169337,4.05,16750.0,18040.0,3797.6,14.88,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,1197.6672495,9.26717020934749,18230.0,18350.0,2026-09-18T10:00:00+09:00
성호전자,043260,KOSDAQ,제외,64.37445807011025,4.83,22950.0,24600.0,1502.5,31.49,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,522.09975,21.298590970255084,25150.0,25500.0,2026-09-18T10:00:00+09:00
삼화콘덴서,001820,KOSPI,제외,81.70381583530794,1.37,147400.0,147400.0,1062.9,4.4,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,628.929504,6.466816758531378,150800.0,147600.0,2026-09-18T10:00:00+09:00
우리로,046970,KOSDAQ,제외,75.11057856673241,2.81,7380.0,8470.0,1114.4,113.85,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,159.4736,24.708501040028246,8890.0,8320.0,2026-09-18T10:00:00+09:00
대원전선,006340,KOSPI,제외,79.60227276580598,3.47,13070.0,14025.0,863.5,11.09,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,326.4764984,10.582589069853636,14230.0,13870.0,2026-09-18T10:00:00+09:00
파미셀,005690,KOSPI,제외,69.69762240972578,2.45,12760.0,13280.0,861.0,70.21,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,156.1653009,18.119890018692928,13820.0,12810.0,2026-09-18T10:00:00+09:00
금호전기,001210,KOSPI,제외,81.88838573616943,1.34,11360.0,11705.0,248.8,1.46,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,559.451793,8.833360250824944,11750.0,11730.0,2026-09-18T10:00:00+09:00
KBI메탈,024840,KOSDAQ,제외,64.07921541780762,3.76,6050.0,6730.0,631.4,19.51,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,146.9205596,14.025201191589614,6920.0,6530.0,2026-09-18T10:00:00+09:00
한라캐스트,125490,KOSDAQ,제외,72.56294984362282,3.26,11400.0,11970.0,324.1,11.18,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,300.951431,28.777145518672953,12870.0,12430.0,2026-09-18T10:00:00+09:00
엑스게이트,356680,KOSDAQ,제외,65.03654243266786,0.5,17700.0,17580.0,548.4,32.89,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,57.720297,7.3103888107551835,18440.0,17610.0,2026-09-18T10:00:00+09:00
인제니아테라퓨틱스(Reg.S),950260,KOSDAQ,제외,61.40480319582669,3.38,18490.0,19350.0,524.8,4.55,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,False,False,70.811702,0.9723720330938544,20400.0,18770.0,2026-09-18T10:00:00+09:00
광전자,017900,KOSPI,제외,69.59453771173324,1.03,11150.0,10470.0,421.7,12.76,09-18 10:00,09-18 09:00,2026-09-18 10:00,False,False,False,121.5225936,9.434967859526948,10850.0,10680.0,2026-09-18T10:00:00+09:00
