종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
RFHIC,218410,돌파·대금 충족 (다음 봉 확인 대기),80.4,54700.0,58100.0,347.7,8.88,09-18 09:00,09-18 09:00,KOSDAQ,2026-09-18 09:00,60000.0,12.36,60300,"1,035억",2026-09-18T10:57:22+09:00
LS에코에너지,229640,돌파·대금 충족 (다음 봉 확인 대기),83.0,55200.0,60800.0,281.2,43.32,09-18 09:00,09-18 09:00,KOSPI,2026-09-18 09:00,60800.0,14.72,63000,810억,2026-09-18T10:57:17+09:00
일진전기,103590,돌파·대금 충족 (다음 봉 확인 대기),78.6,71400.0,76200.0,227.5,5.22,09-18 09:00,09-18 09:00,KOSPI,2026-09-18 09:00,76700.0,9.26,77600,726억,2026-09-18T10:56:59+09:00
기가비스,420770,돌파·대금 충족 (다음 봉 확인 대기),60.7,107000.0,108900.0,53.9,2.78,09-18 09:00,09-18 09:00,KOSDAQ,2026-09-18 09:00,108900.0,8.9,110500,133억,2026-09-18T10:57:20+09:00
휴림로봇,090710,돌파·대금 충족 (다음 봉 확인 대기),72.8,6220.0,6400.0,37.0,2.84,09-18 09:00,09-18 09:00,KOSDAQ,2026-09-18 09:00,6420.0,4.73,6540,73.4억,2026-09-18T10:57:19+09:00
