종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
LIG디펜스앤에어로스페이스,079550,돌파·대금 충족 (다음 봉 확인 대기),60.9,738000.0,749000.0,161.1,2.47,09-18 13:00,09-18 13:00,KOSPI,2026-09-18 13:00,751000.0,6.07,754000,841억,2026-09-18T14:17:00+09:00
피노,033790,돌파·대금 충족 (다음 봉 확인 대기),62.8,8100.0,8180.0,28.6,2.06,09-18 13:00,09-18 13:00,KOSDAQ,2026-09-18 13:00,8170.0,9.96,8270,138억,2026-09-18T14:16:20+09:00
