종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,55.31051361176496,2.46,261500.0,260750.0,4130.2,0.93,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,3714.01173,0.5550422133068674,261500.0,261000.0,2026-09-18T14:00:00+09:00
SK하이닉스,000660,KOSPI,제외,42.57534200051892,4.14,1847000.0,1850000.0,6984.9,1.21,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,5491.4351,0.7824458131454514,1852000.0,1847500.0,2026-09-18T14:00:00+09:00
SK스퀘어,402340,KOSPI,제외,53.68182863711466,3.5,1075000.0,1074000.0,568.6,1.09,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,616.1292,0.8002024503269071,1078000.0,1080000.0,2026-09-18T14:00:00+09:00
삼성전기,009150,KOSPI,제외,61.488927012857324,2.1,1409000.0,1401000.0,2267.1,3.05,09-18 14:00,09-18 13:00,2026-09-18 14:00,True,False,False,1195.6957,1.261689178909261,1409000.0,1402000.0,2026-09-18T14:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,60.0883719107404,0.32,371500.0,363000.0,41.5,0.37,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,82.39145,0.34930767422004544,371500.0,365000.0,2026-09-18T14:00:00+09:00
현대차,005380,KOSPI,제외,71.0878097591115,0.62,372000.0,366500.0,129.9,0.72,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,163.173675,0.6424436759730708,372000.0,367500.0,2026-09-18T14:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,52.372678287881385,-0.85,1414000.0,1397000.0,51.4,0.77,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,49.45275,0.5610745301531574,1414000.0,1395000.0,2026-09-18T14:00:00+09:00
KB금융,105560,KOSPI,제외,56.84735074673019,-0.82,181600.0,176200.0,131.1,0.73,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,173.951028,0.8463791961135471,181600.0,175900.0,2026-09-18T14:00:00+09:00
삼성물산,028260,KOSPI,제외,57.4700072473511,0.03,365000.0,353500.0,92.0,0.62,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,82.036745,0.3383609430601707,365000.0,353500.0,2026-09-18T14:00:00+09:00
삼성생명,032830,KOSPI,제외,62.21850934411499,-0.3,291000.0,286000.0,71.1,0.69,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,70.9023,0.5134686180279321,291000.0,285000.0,2026-09-18T14:00:00+09:00
한화에어로스페이스,012450,KOSPI,제외,58.104797963862836,0.96,1130000.0,1100000.0,67.7,0.5,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,75.24456,0.40350206122681537,1130000.0,1102000.0,2026-09-18T14:00:00+09:00
두산에너빌리티,034020,KOSPI,제외,65.91704024914806,0.06,87800.0,85400.0,108.4,0.51,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,130.23702,0.39650566999032727,87800.0,85500.0,2026-09-18T14:00:00+09:00
신한지주,055550,KOSPI,제외,59.665507652104985,-0.85,114400.0,111400.0,83.0,0.7,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,106.050572,0.7233016906521443,114400.0,111400.0,2026-09-18T14:00:00+09:00
HD현대중공업,329180,KOSPI,제외,57.847961335838455,-0.18,477500.0,456750.0,111.6,0.79,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,94.29762,0.5310774979755679,473000.0,458000.0,2026-09-18T14:00:00+09:00
기아,000270,KOSPI,제외,62.655779136916706,0.03,122500.0,121700.0,51.4,0.68,09-18 14:00,09-18 13:00,2026-09-18 14:00,False,False,False,64.880896,0.46812202143394205,122500.0,121600.0,2026-09-18T14:00:00+09:00
