종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
달바글로벌,483650,돌파·대금 충족 (다음 봉 확인 대기),69.9,177800.0,181500.0,85.5,2.35,09-18 10:00,09-18 10:00,KOSPI,2026-09-18 10:00,182700.0,5.79,183000,341억,2026-09-18T11:59:18+09:00
한국피아이엠,448900,돌파·대금 충족 (다음 봉 확인 대기),68.6,56400.0,57800.0,27.3,5.62,09-18 10:00,09-18 10:00,KOSDAQ,2026-09-18 10:00,57000.0,9.2,58450,111억,2026-09-18T11:59:20+09:00
