순위,종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time,현재가,당일등락률,당일고가,당일누적대금,시세시각
1,휴림로봇,090710,KOSDAQ,일치,75.9,2.42,6220.0,6400.0,37.0,2.84,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,35.1180824,4.989455491534447,6430.0,6410.0,2026-09-18T10:00:00+09:00,6410.0,4.57,6540,76.6억,2026-09-18T11:15:19+09:00
2,LS에코에너지,229640,KOSPI,일치,70.1,2.67,55200.0,60800.0,281.2,43.32,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,101.56902,20.96544028391241,62000.0,60900.0,2026-09-18T10:00:00+09:00,61400.0,15.85,63000,833억,2026-09-18T11:15:21+09:00
3,일진전기,103590,KOSPI,일치,70.0,3.95,71400.0,76200.0,227.5,5.22,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,131.43794,6.6878230560716405,77200.0,76600.0,2026-09-18T10:00:00+09:00,76900.0,9.54,77600,765억,2026-09-18T11:15:19+09:00
4,기가비스,420770,KOSDAQ,일치,62.0,3.03,107000.0,108900.0,53.9,2.78,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,35.774983,2.238833277870945,109700.0,109300.0,2026-09-18T10:00:00+09:00,109300.0,9.3,110500,149억,2026-09-18T11:15:21+09:00
