code,name,market,price,market_cap,quote_time,amount
328130,루닛,KOSDAQ,8950,666400000000.0,2026-09-18T11:50:19+09:00,8132.0
200470,에이팩트,KOSDAQ,7290,319500000000.0,2026-09-18T11:50:15+09:00,8053.0
252990,샘씨엔에스,KOSDAQ,17180,1034500000000.0,2026-09-18T11:50:15+09:00,7803.0
079650,서산,KOSDAQ,6560,131200000000.0,2026-09-18T11:50:21+09:00,7779.0
440110,파두,KOSDAQ,63700,3192100000000.0,2026-09-18T11:50:14+09:00,7716.0
399720,가온칩스,KOSDAQ,43100,511100000000.0,2026-09-18T11:50:19+09:00,7681.0
092870,엑시콘,KOSDAQ,35750,466600000000.0,2026-09-18T11:50:15+09:00,7588.0
004710,한솔테크닉스,KOSPI,9950,528500000000.0,2026-09-18T11:50:15+09:00,7545.0
232140,와이씨,KOSDAQ,11930,978800000000.0,2026-09-18T11:50:19+09:00,7541.0
033790,피노,KOSDAQ,7950,662400000000.0,2026-09-18T11:50:15+09:00,7342.0
028670,팬오션,KOSPI,5850,3127200000000.0,2026-09-18T11:50:12+09:00,7130.0
032500,케이엠더블유,KOSDAQ,19370,817300000000.0,2026-09-18T11:50:19+09:00,7082.0
051900,LG생활건강,KOSPI,295000,4417800000000.0,2026-09-18T11:50:14+09:00,6721.0
014950,삼익제약,KOSDAQ,10090,101600000000.0,2026-09-18T11:50:16+09:00,6701.0
0220W0,한화머시너리앤서비스홀딩스,KOSPI,6500,549400000000.0,2026-09-18T11:49:52+09:00,6399.0
018880,한온시스템,KOSPI,3420,3509800000000.0,2026-09-18T11:50:13+09:00,6377.0
319660,피에스케이,KOSDAQ,126900,3675900000000.0,2026-09-18T11:50:17+09:00,6368.0
131290,티에스이,KOSDAQ,249500,2759800000000.0,2026-09-18T11:50:17+09:00,6171.0
084370,유진테크,KOSDAQ,136300,3123500000000.0,2026-09-18T11:50:18+09:00,6089.0
489790,한화비전,KOSPI,46800,2362900000000.0,2026-09-18T11:50:11+09:00,6087.0
091580,상신이디피,KOSDAQ,23750,316500000000.0,2026-09-18T11:50:14+09:00,5953.0
295310,에이치브이엠,KOSDAQ,59700,740600000000.0,2026-09-18T11:50:15+09:00,5813.0
056080,유진로봇,KOSDAQ,12570,480600000000.0,2026-09-18T11:50:15+09:00,5582.0
0015N0,아로마티카,KOSDAQ,13800,173600000000.0,2026-09-18T11:50:16+09:00,5580.0
454910,두산로보틱스,KOSPI,69900,4530900000000.0,2026-09-18T11:49:49+09:00,5508.0
417840,저스템,KOSDAQ,14650,335000000000.0,2026-09-18T11:50:18+09:00,5485.0
289080,SV인베스트먼트,KOSDAQ,2740,164800000000.0,2026-09-18T11:50:17+09:00,5425.0
023530,롯데쇼핑,KOSPI,114300,3233400000000.0,2026-09-18T11:49:58+09:00,5409.0
281820,케이씨텍,KOSPI,73300,1451200000000.0,2026-09-18T11:50:13+09:00,5371.0
089980,상아프론테크,KOSDAQ,16810,268800000000.0,2026-09-18T11:50:17+09:00,5368.0
192650,드림텍,KOSPI,7720,508600000000.0,2026-09-18T11:50:13+09:00,5337.0
011170,롯데케미칼,KOSPI,64100,2741900000000.0,2026-09-18T11:49:53+09:00,5312.0
054920,한컴위드,KOSDAQ,5020,141600000000.0,2026-09-18T11:50:18+09:00,5279.0
448900,한국피아이엠,KOSDAQ,57300,348100000000.0,2026-09-18T11:50:15+09:00,5276.0
009420,한올바이오파마,KOSPI,48650,2541500000000.0,2026-09-18T11:50:14+09:00,5256.0
077500,유니퀘스트,KOSPI,8290,179100000000.0,2026-09-18T11:50:16+09:00,5201.0
012210,삼미금속,KOSDAQ,11290,260300000000.0,2026-09-18T11:50:19+09:00,5109.0
204320,HL만도,KOSPI,48350,2270400000000.0,2026-09-18T11:50:00+09:00,5075.0
