종목,코드,단계,점수,돌파선,돌파봉종가,돌파봉대금_억,동시간배수,돌파봉(KST),기준봉(KST),시장,_bar_time_full,현재가,당일등락률,당일고가,당일누적대금,시세시각
달바글로벌,483650,돌파·대금 충족 (다음 봉 확인 대기),68.7,177800.0,181000.0,79.7,2.19,09-18 10:00,09-18 10:00,KOSPI,2026-09-18 10:00,181900.0,5.33,182900,291억,2026-09-18T11:15:19+09:00
한국피아이엠,448900,돌파·대금 충족 (다음 봉 확인 대기),68.3,56400.0,57800.0,26.7,5.5,09-18 10:00,09-18 10:00,KOSDAQ,2026-09-18 10:00,56900.0,9.0,58450,105억,2026-09-18T11:15:21+09:00
