종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time
삼성전자,005930,KOSPI,제외,52.217662749331964,2.38,261000.0,261000.0,4838.0,1.32,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,3919.136535,0.8842076969164842,261500.0,260500.0,2026-09-18T13:00:00+09:00
SK하이닉스,000660,KOSPI,제외,44.74744078164285,4.34,1828000.0,1846000.0,9535.3,1.88,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,6646.6615,1.152504752113418,1847000.0,1850000.0,2026-09-18T13:00:00+09:00
SK스퀘어,402340,KOSPI,제외,57.167633422345055,3.16,1058000.0,1074000.0,770.5,1.76,09-18 13:00,09-18 12:00,2026-09-18 13:00,True,False,False,538.4656,1.031309620411199,1075000.0,1072000.0,2026-09-18T13:00:00+09:00
삼성전기,009150,KOSPI,제외,56.96094633630234,2.32,1409000.0,1400000.0,919.7,1.86,09-18 13:00,09-18 12:00,2026-09-18 13:00,True,False,False,1919.60935,2.579833538382242,1409000.0,1405000.0,2026-09-18T13:00:00+09:00
LG에너지솔루션,373220,KOSPI,제외,57.63750605829814,-0.25,371500.0,364000.0,64.1,0.82,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,30.917625,0.2718553077022758,371500.0,362500.0,2026-09-18T13:00:00+09:00
현대차,005380,KOSPI,제외,66.41094440213249,0.23,372000.0,367500.0,166.8,1.23,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,120.532875,0.670622874474068,372000.0,366250.0,2026-09-18T13:00:00+09:00
삼성바이오로직스,207940,KOSPI,제외,49.977734899327764,-0.82,1414000.0,1397000.0,38.6,0.89,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,49.254555,0.7417121892776858,1414000.0,1396500.0,2026-09-18T13:00:00+09:00
KB금융,105560,KOSPI,제외,58.81957901111501,-0.74,181600.0,176900.0,141.3,0.98,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,125.017424,0.6966056701783013,181600.0,176200.0,2026-09-18T13:00:00+09:00
삼성물산,028260,KOSPI,제외,59.687520954600906,0.11,365000.0,356000.0,47.9,0.45,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,81.47664,0.5480859471607348,365000.0,354000.0,2026-09-18T13:00:00+09:00
삼성생명,032830,KOSPI,제외,59.47469524280386,-0.44,291000.0,285000.0,61.9,0.77,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,66.3879,0.6445317520204329,291000.0,285000.0,2026-09-18T13:00:00+09:00
한화에어로스페이스,012450,KOSPI,제외,62.77576274971138,0.84,1130000.0,1105000.0,67.3,0.72,09-18 13:00,09-18 12:00,2026-09-18 13:00,False,False,False,62.50377,0.45786624636347933,1130000.0,1101000.0,2026-09-18T13:00:00+09:00
