순위,종목,코드,시장,구분,점수,이격ATR,돌파선,돌파봉종가,돌파봉대금_억,돌파봉대금배수,기준봉(KST),돌파봉(KST),_bar_time_full,_base,_match,_waiting,_current_amount,_current_ratio,_current_level,_current_close,_bar_time,현재가,당일등락률,당일고가,당일누적대금,시세시각
1,휴림로봇,090710,KOSDAQ,일치,74.0,2.86,6220.0,6400.0,37.0,2.84,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,32.943093,4.680440532168124,6430.0,6460.0,2026-09-18T10:00:00+09:00,6400.0,4.4,6540,75.9억,2026-09-18T11:08:18+09:00
2,일진전기,103590,KOSPI,일치,71.0,3.76,71400.0,76200.0,227.5,5.22,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,126.583989,6.440844402793584,77200.0,76300.0,2026-09-18T10:00:00+09:00,76900.0,9.54,77600,741억,2026-09-18T11:08:18+09:00
3,LS에코에너지,229640,KOSPI,일치,69.8,2.74,55200.0,60800.0,281.2,43.32,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,False,98.644117,20.361694385972896,62000.0,61100.0,2026-09-18T10:00:00+09:00,60600.0,14.34,63000,821억,2026-09-18T11:08:21+09:00
4,기가비스,420770,KOSDAQ,일치,60.7,3.2,107000.0,108900.0,53.9,2.78,09-18 10:00,09-18 09:00,2026-09-18 10:00,True,True,True,32.668874,2.0444499515701486,109700.0,109900.0,2026-09-18T10:00:00+09:00,109200.0,9.2,110500,145억,2026-09-18T11:08:58+09:00
